BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2021;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;340000264;TOT;0;;;;;;0;2;;30;0
DIALYSE;2021;300782117;CHU NIMES CAREMEAU;300780038;112BA;;;;16;86;9933;;;;;
DIALYSE;2021;300782117;CHU NIMES CAREMEAU;300780038;112BE;;;;0;;160;;;;;
DIALYSE;2021;300782117;CHU NIMES CAREMEAU;300780038;122AX;;;;2;;;;;144;;
DIALYSE;2021;300782117;CHU NIMES CAREMEAU;300780038;122BX;;;;4;6;;;;287;;
DIALYSE;2021;300782117;CHU NIMES CAREMEAU;300780038;TOT;0;;;;;;2225;4;;97;
DIALYSE;2021;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;112AX;;;;6;21;2176;;;;;
DIALYSE;2021;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;1130X;;;;21;101;14435;;;;;
DIALYSE;2021;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;1140X;;;;10;20;3029;;;;;
DIALYSE;2021;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;TOT;0;;;;;;0;2;;2;0
DIALYSE;2021;310006473;NEPHROCARE OC UAD RIEUX VOLVESTRE;310002712;1140X;;;;6;10;1130;;;;;
DIALYSE;2021;310011838;NEPHROCARE OC UDM CORNEBARRIEU;310002712;112AX;;;;1;0;83;;;;;
DIALYSE;2021;310011838;NEPHROCARE OC UDM CORNEBARRIEU;310002712;1130X;;;;12;24;3321;;;;;
DIALYSE;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;112BA;;;;;;7;;;;;
DIALYSE;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;112BE;;;;6;5;731;;;;;
DIALYSE;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;122AX;;;;2;0;;;;42;;
DIALYSE;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;TOT;0;;;;;;220;;;7;2
DIALYSE;2021;310018684;CL NEPHRO ST EXUPERY UAD TLS SANS;310000617;1140X;;;;15;11;1840;;;;;
DIALYSE;2021;310018684;CL NEPHRO ST EXUPERY UAD TLS SANS;310000617;TOT;0;;;;;;;;;5;
DIALYSE;2021;310019351;HOPITAL LARREY CHU TLSE;310781406;112AX;;;;1;3;22;;;;;
DIALYSE;2021;310019351;HOPITAL LARREY CHU TLSE;310781406;112BA;;;;32;139;20024;;;;;
DIALYSE;2021;310019351;HOPITAL LARREY CHU TLSE;310781406;122AX;;;;3;;;;;117;;
DIALYSE;2021;310019351;HOPITAL LARREY CHU TLSE;310781406;122BX;;;;2;9;;;;59;;
DIALYSE;2021;310019351;HOPITAL LARREY CHU TLSE;310781406;TOT;0;;;;;;373;;;;
DIALYSE;2021;310020169;AAIR UAD COLOMIERS MONNET;310000633;1140X;;;;10;20;2477;;;;;
DIALYSE;2021;310020169;AAIR UAD COLOMIERS MONNET;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;310022330;GCS DIALYSE DU COMMINGES ST GAUDENS;310022322;1130X;;;;16;31;4335;;;;;
DIALYSE;2021;310022330;GCS DIALYSE DU COMMINGES ST GAUDENS;310022322;TOT;0;;;;;;;;;15;
DIALYSE;2021;310026612;CL NEPHRO ST EXUPERY UDM UNION ST JEAN;310000617;1130X;;;;18;47;6966;;;;;
DIALYSE;2021;310026612;CL NEPHRO ST EXUPERY UDM UNION ST JEAN;310000617;TOT;0;;;;;;;;;16;
DIALYSE;2021;310026919;AAIR UAD UDM DOMIC RAMONVILLE ST AGNE;310000633;1130X;;;;3;8;1076;;;;;
DIALYSE;2021;310026919;AAIR UAD UDM DOMIC RAMONVILLE ST AGNE;310000633;1140X;;;;5;11;1677;;;;;
DIALYSE;2021;310026919;AAIR UAD UDM DOMIC RAMONVILLE ST AGNE;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;310031414;CL NEPHRO ST EXUPERY UAD QUINT;310000617;1140X;;;;12;11;1656;;;;;
DIALYSE;2021;310031414;CL NEPHRO ST EXUPERY UAD QUINT;310000617;TOT;0;;;;;;;;;2;
DIALYSE;2021;310031927;AAIR UAD TOULOUSE PERIOLE;310000633;1140X;;;;12;23;1663;;;;;
DIALYSE;2021;310031927;AAIR UAD TOULOUSE PERIOLE;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;310781000;CL DES CEDRES;310788880;TOT;0;;;;;;29;;;;
DIALYSE;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;112AX;;;;4;;207;;;;;
DIALYSE;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;112BA;;;;53;257;43753;;;;;
DIALYSE;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;1150A;;;;5;;1321;;;;;
DIALYSE;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;1210;;;;;5;;;;366;;
DIALYSE;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;121AX;;;;;4;;;;270;;
DIALYSE;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;121CX;;;;1;1;;;;96;;
DIALYSE;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;122AX;;;;5;1;;;;200;;
DIALYSE;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;122BX;;;;11;1;;;;85;;
DIALYSE;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;TOT;1;1;28;;;;3363;6;;161;6
DIALYSE;2021;310782065;AAIR MIDI PYRENEES;310000633;112AX;;;;2;8;1543;;;;;
DIALYSE;2021;310782065;AAIR MIDI PYRENEES;310000633;1130X;;;;23;47;7412;;;;;
DIALYSE;2021;310782065;AAIR MIDI PYRENEES;310000633;1150A;;;;13;13;3388;;;;;
DIALYSE;2021;310782065;AAIR MIDI PYRENEES;310000633;1210;;;;;69;;;;3502;;
DIALYSE;2021;310782065;AAIR MIDI PYRENEES;310000633;121AX;;;;;36;;;;1946;;
DIALYSE;2021;310782065;AAIR MIDI PYRENEES;310000633;121CX;;;;33;33;;;;1556;;
DIALYSE;2021;310782065;AAIR MIDI PYRENEES;310000633;TOT;1;7;135;;;;;2;;210;38
DIALYSE;2021;310793401;CL NEPHRO ST EXUPERY UAD BESSIERES;310000617;1140X;;;;12;18;2611;;;;;
DIALYSE;2021;310793401;CL NEPHRO ST EXUPERY UAD BESSIERES;310000617;TOT;0;;;;;;;;;9;
DIALYSE;2021;310793419;CL NEPHRO ST EXUPERY UAD ST GAUDENS;310000617;1140X;;;;12;22;3195;;;;;
DIALYSE;2021;310793419;CL NEPHRO ST EXUPERY UAD ST GAUDENS;310000617;TOT;0;;;;;;;;;9;
DIALYSE;2021;310793435;CL NEPHRO ST EXUPERY UAD VILLEFRANCHE;310000617;1140X;;;;10;12;1799;;;;;
DIALYSE;2021;310793435;CL NEPHRO ST EXUPERY UAD VILLEFRANCHE;310000617;TOT;0;;;;;;;;;4;
DIALYSE;2021;310793559;AAIR UAD TOULOUSE BONNEFOY;310000633;1140X;;;;0;0;1664;;;;;
DIALYSE;2021;310793559;AAIR UAD TOULOUSE BONNEFOY;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;310793567;AAIR UAD BLAGNAC;310000633;1140X;;;;12;22;3167;;;;;
DIALYSE;2021;310793567;AAIR UAD BLAGNAC;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;310793575;AAIR UAD TOULOUSE CEPIERE;310000633;1140X;;;;6;22;3281;;;;;
DIALYSE;2021;310793575;AAIR UAD TOULOUSE CEPIERE;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;310793807;CL NEPHRO ST EXUPERY UAD BRAX;310000617;1140X;;;;15;12;1651;;;;;
DIALYSE;2021;310793807;CL NEPHRO ST EXUPERY UAD BRAX;310000617;TOT;0;;;;;;;;;5;
DIALYSE;2021;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;112AX;;;;3;;580;;;;;
DIALYSE;2021;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;112BA;;;;44;156;23168;;;;;
DIALYSE;2021;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;1130X;;;;16;24;3447;;;;;
DIALYSE;2021;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;1140X;;;;6;10;1130;;;;;
DIALYSE;2021;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;1210;;;;;4;;;;169;;
DIALYSE;2021;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;121AX;;;;;3;;;;124;;
DIALYSE;2021;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;121CX;;;;1;1;;;;45;;
DIALYSE;2021;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;122AX;;;;1;;;;;32;;
DIALYSE;2021;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;TOT;0;;;;;;0;1;;74;3
DIALYSE;2021;310794524;AAIR UAD ST GAUDENS;310000633;1140X;;;;9;16;2297;;;;;
DIALYSE;2021;310794524;AAIR UAD ST GAUDENS;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;310794532;CL NEPHRO ST EXUPERY UAD TLS BASSO;310000617;1140X;;;;15;11;1825;;;;;
DIALYSE;2021;310794532;CL NEPHRO ST EXUPERY UAD TLS BASSO;310000617;TOT;0;;;;;;;;;12;
DIALYSE;2021;310796768;CL NEPHRO ST EXUPERY UAD LUCHON;310000617;1140X;;;;8;6;1015;;;;;
DIALYSE;2021;310796768;CL NEPHRO ST EXUPERY UAD LUCHON;310000617;TOT;0;;;;;;;;;2;
DIALYSE;2021;310796776;CL NEPHRO ST EXUPERY UAD REVEL;310000617;1140X;;;;12;23;3519;;;;;
DIALYSE;2021;310796776;CL NEPHRO ST EXUPERY UAD REVEL;310000617;TOT;0;;;;;;;;;7;
DIALYSE;2021;320000086;CH AUCH EN GASCOGNE;320780117;112AX;;;;2;0;257;;;;;
DIALYSE;2021;320000086;CH AUCH EN GASCOGNE;320780117;112BA;;;;14;55;6334;;;;;
DIALYSE;2021;320000086;CH AUCH EN GASCOGNE;320780117;1140X;;;;61;244;0;;;;;
DIALYSE;2021;320000086;CH AUCH EN GASCOGNE;320780117;1150A;;;;1;1;0;;;;;
DIALYSE;2021;320000086;CH AUCH EN GASCOGNE;320780117;TOT;0;;;;;;684;2;;23;0
DIALYSE;2021;320000086;CH AUCH EN GASCOGNE;320780117;VACAN;;;;1;0;9;;;;;
DIALYSE;2021;320001050;AAIR UAD MIRANDE;310000633;1140X;;;;6;11;1678;;;;;
DIALYSE;2021;320001050;AAIR UAD MIRANDE;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;320001688;AAIR UAD CONDOM;310000633;1140X;;;;6;9;2190;;;;;
DIALYSE;2021;320001688;AAIR UAD CONDOM;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;320004872;AAIR UAD L'ISLE JOURDAIN;310000633;1140X;;;;6;9;1604;;;;;
DIALYSE;2021;320004872;AAIR UAD L'ISLE JOURDAIN;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;320005523;AAIR UAD ASSISTEE NOGARO ESTALENS;310000633;1140X;;;;6;12;1173;;;;;
DIALYSE;2021;320005523;AAIR UAD ASSISTEE NOGARO ESTALENS;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;320784515;AAIR UAD UDM PAVIE;310000633;1130X;;;;4;8;1222;;;;;
DIALYSE;2021;320784515;AAIR UAD UDM PAVIE;310000633;1140X;;;;8;17;2698;;;;;
DIALYSE;2021;320784515;AAIR UAD UDM PAVIE;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;320785587;AAIR UAD FLEURANCE;310000633;1140X;;;;6;8;1458;;;;;
DIALYSE;2021;320785587;AAIR UAD FLEURANCE;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;112BA;;;;22;83;12321;;;;;
DIALYSE;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1130X;;;;12;4;2116;;;;;
DIALYSE;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;122AX;;;;1;4;;;;207;;
DIALYSE;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;TOT;0;;;;;;824;;;88;9
DIALYSE;2021;330007410;ANTENNE AUTODIALYSE ET UDM CA3D;330007386;112AX;;;;1;0;61;;;;;
DIALYSE;2021;330007410;ANTENNE AUTODIALYSE ET UDM CA3D;330007386;1130X;;;;8;5;1038;;;;;
DIALYSE;2021;330007410;ANTENNE AUTODIALYSE ET UDM CA3D;330007386;1140X;;;;22;26;5264;;;;;
DIALYSE;2021;330007410;ANTENNE AUTODIALYSE ET UDM CA3D;330007386;1150A;;;;1;0;255;;;;;
DIALYSE;2021;330007410;ANTENNE AUTODIALYSE ET UDM CA3D;330007386;1210;;;;;2;;;;128;;
DIALYSE;2021;330007410;ANTENNE AUTODIALYSE ET UDM CA3D;330007386;121CX;;;;15;2;;;;128;;
DIALYSE;2021;330007410;ANTENNE AUTODIALYSE ET UDM CA3D;330007386;TOT;1;1;8;;;;0;4;;9;1
DIALYSE;2021;330007410;ANTENNE AUTODIALYSE ET UDM CA3D;330007386;VACAN;;;;18;0;71;;;;;
DIALYSE;2021;330007436;ANTENNE AUTODIALYSE PBNA - BORDEAUX;330000274;1140X;;;;12;30;5128;;;;;
DIALYSE;2021;330007436;ANTENNE AUTODIALYSE PBNA - BORDEAUX;330000274;TOT;0;;;;;;;2;;18;
DIALYSE;2021;330007550;ANTENNE AUTODIALYSE AURAD BORDEAUX;330000266;1140X;;;;6;9;1509;;;;;
DIALYSE;2021;330007550;ANTENNE AUTODIALYSE AURAD BORDEAUX;330000266;TOT;0;;;;;;;6;;;
DIALYSE;2021;330007584;ANTENNE AUTODIALYSE AURAD ARTIGUES;330000266;1140X;;;;6;10;1424;;;;;
DIALYSE;2021;330007584;ANTENNE AUTODIALYSE AURAD ARTIGUES;330000266;TOT;0;;;;;;;6;;;
DIALYSE;2021;330007634;ANTENNE AUTODIALYSE AURAD LA TESTE;330000266;1140X;;;;12;23;3786;;;;;
DIALYSE;2021;330007634;ANTENNE AUTODIALYSE AURAD LA TESTE;330000266;TOT;0;;;;;;;6;;;
DIALYSE;2021;330007642;ANTENNE AUTODIALYSE AURAD PINEUILH;330000266;1140X;;;;12;23;3534;;;;;
DIALYSE;2021;330007642;ANTENNE AUTODIALYSE AURAD PINEUILH;330000266;TOT;0;;;;;;;2;;;
DIALYSE;2021;330007667;ANTENNE AUTODIALYSE AURAD LANGON;330000266;1140X;;;;6;16;2272;;;;;
DIALYSE;2021;330007667;ANTENNE AUTODIALYSE AURAD LANGON;330000266;TOT;0;;;;;;;6;;;
DIALYSE;2021;330007683;ANTENNE AUTODIALYSE AURAD LIBOURNE;330000266;1140X;;;;12;20;3582;;;;;
DIALYSE;2021;330007683;ANTENNE AUTODIALYSE AURAD LIBOURNE;330000266;TOT;0;;;;;;;2;;;
DIALYSE;2021;330007725;ANTENNE AUTODIALYSE AURAD GRADIGNAN;330000266;112AX;;;;6;5;982;;;;;
DIALYSE;2021;330007725;ANTENNE AUTODIALYSE AURAD GRADIGNAN;330000266;1140X;;;;14;36;6003;;;;;
DIALYSE;2021;330007725;ANTENNE AUTODIALYSE AURAD GRADIGNAN;330000266;TOT;0;;;;;;;6;;;
DIALYSE;2021;330008012;ANTENNE AUTODIALYSE PBNA - BLAYE;330000274;1140X;;;;6;12;1728;;;;;
DIALYSE;2021;330008012;ANTENNE AUTODIALYSE PBNA - BLAYE;330000274;TOT;0;;;;;;;2;;2;
DIALYSE;2021;330017989;CENTRE HEMODIALYSE BX RIVE DROITE;330000134;112BA;;;;19;;11135;;;;;
DIALYSE;2021;330017989;CENTRE HEMODIALYSE BX RIVE DROITE;330000134;1130X;;;;7;;3689;;;;;
DIALYSE;2021;330017989;CENTRE HEMODIALYSE BX RIVE DROITE;330000134;TOT;0;;;;;;0;;;1;0
DIALYSE;2021;330024639;ANTENNE AUTODIALYSE AURAD - DAGUEY;330000266;1140X;;;;6;14;2285;;;;;
DIALYSE;2021;330024639;ANTENNE AUTODIALYSE AURAD - DAGUEY;330000266;TOT;0;;;;;;;2;;;
DIALYSE;2021;330051608;ANTENNE AUTODIALYSE PBNA - CASTELNAU;330000274;1140X;;;;6;8;1526;;;;;
DIALYSE;2021;330051608;ANTENNE AUTODIALYSE PBNA - CASTELNAU;330000274;TOT;0;;;;;;;2;;4;
DIALYSE;2021;330054453;ANTENNE AUTODIALYSE CTMR;330000258;1130X;;;;6;10;1627;;;;;
DIALYSE;2021;330054453;ANTENNE AUTODIALYSE CTMR;330000258;1140X;;;;6;8;1486;;;;;
DIALYSE;2021;330054453;ANTENNE AUTODIALYSE CTMR;330000258;TOT;0;;;;;;;;;4;
DIALYSE;2021;330054461;ANTENNE AUTODIALYSE PBNA-LESPARRE;330000274;1140X;;;;6;8;1570;;;;;
DIALYSE;2021;330054461;ANTENNE AUTODIALYSE PBNA-LESPARRE;330000274;TOT;0;;;;;;;3;;1;
DIALYSE;2021;330056227;ANTENNE AUTODIALYSE CADDD;330007386;1140X;;;;8;7;1161;;;;;
DIALYSE;2021;330056227;ANTENNE AUTODIALYSE CADDD;330007386;TOT;0;;;;;;0;2;;;
DIALYSE;2021;330056227;ANTENNE AUTODIALYSE CADDD;330007386;VACAN;;;;6;0;0;;;;;
DIALYSE;2021;330056516;ANTENNE/UNITE DE DIALYSE CTMR;330000258;1130X;;;;8;18;3388;;;;;
DIALYSE;2021;330056516;ANTENNE/UNITE DE DIALYSE CTMR;330000258;1140X;;;;4;11;1682;;;;;
DIALYSE;2021;330056516;ANTENNE/UNITE DE DIALYSE CTMR;330000258;TOT;1;1;33;;;;;;;12;
DIALYSE;2021;330056680;ANTENNE AUTODIALYSE PBNA - LORMONT;330000274;1140X;;;;6;11;1773;;;;;
DIALYSE;2021;330056680;ANTENNE AUTODIALYSE PBNA - LORMONT;330000274;TOT;0;;;;;;;2;;4;
DIALYSE;2021;330058058;ANTENNE AUTODIALYSE AURAD LE HAILLAN;330000266;1140X;;;;6;14;1779;;;;;
DIALYSE;2021;330058058;ANTENNE AUTODIALYSE AURAD LE HAILLAN;330000266;TOT;0;;;;;;;6;;;
DIALYSE;2021;330058694;ANTENNE AUTODIALYSE PBNA - LANGOIRAN;330000274;1140X;;;;6;8;1216;;;;;
DIALYSE;2021;330058694;ANTENNE AUTODIALYSE PBNA - LANGOIRAN;330000274;TOT;0;;;;;;;1;;4;
DIALYSE;2021;330780446;C.T.M.R. SAINT-AUGUSTIN;330000258;112AX;;;;1;2;285;;;;;
DIALYSE;2021;330780446;C.T.M.R. SAINT-AUGUSTIN;330000258;112BA;;;;40;172;27544;;;;;
DIALYSE;2021;330780446;C.T.M.R. SAINT-AUGUSTIN;330000258;1150A;;;;7;7;1306;;;;;
DIALYSE;2021;330780446;C.T.M.R. SAINT-AUGUSTIN;330000258;1210;;;;;8;;;;368;;
DIALYSE;2021;330780446;C.T.M.R. SAINT-AUGUSTIN;330000258;121AX;;;;;3;;;;108;;
DIALYSE;2021;330780446;C.T.M.R. SAINT-AUGUSTIN;330000258;121CX;;;;5;5;;;;260;;
DIALYSE;2021;330780446;C.T.M.R. SAINT-AUGUSTIN;330000258;122AX;;;;2;3;;;;54;;
DIALYSE;2021;330780446;C.T.M.R. SAINT-AUGUSTIN;330000258;TOT;1;1;33;;;;0;1;;44;2
DIALYSE;2021;330780453;CENTRE HEMODYALISE SAINT MARTIN;330000308;112BA;;;;38;168;26911;;;;;
DIALYSE;2021;330780453;CENTRE HEMODYALISE SAINT MARTIN;330000308;TOT;0;;;;;;0;7;;79;
DIALYSE;2021;330780453;CENTRE HEMODYALISE SAINT MARTIN;330000308;VACAN;;;;1;1;;;;;;
DIALYSE;2021;330780461;ANTENNE AUTODIALYSE AURAD GRADIGNAN;330000266;1150A;;;;16;12;3280;;;;;
DIALYSE;2021;330780461;ANTENNE AUTODIALYSE AURAD GRADIGNAN;330000266;1210;;;;;54;;;;2695;;
DIALYSE;2021;330780461;ANTENNE AUTODIALYSE AURAD GRADIGNAN;330000266;121AX;;;;;34;;;;1571;;
DIALYSE;2021;330780461;ANTENNE AUTODIALYSE AURAD GRADIGNAN;330000266;121CX;;;;22;20;;;;1124;;
DIALYSE;2021;330780461;ANTENNE AUTODIALYSE AURAD GRADIGNAN;330000266;122AX;;;;0;0;;;;57;;
DIALYSE;2021;330780461;ANTENNE AUTODIALYSE AURAD GRADIGNAN;330000266;TOT;0;;;;;;;;;;
DIALYSE;2021;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;1130X;;;;8;;2424;;;;;
DIALYSE;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;112BA;;;;28;128;14650;;;;;
DIALYSE;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;112BE;;;;4;2;257;;;;;
DIALYSE;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1130X;;;;4;14;2342;;;;;
DIALYSE;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1210;;;;;26;;;;;;
DIALYSE;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;121AX;;;;;13;;;;;;
DIALYSE;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;121CX;;;;;13;;;;;;
DIALYSE;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;122BX;;;;;1;;;;;;
DIALYSE;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;TOT;0;;;;;;5574;;;120;8
DIALYSE;2021;330783374;CENTRE D'HEMODIALYSE PBNA;330000274;112AX;;;;1;0;54;;;;;
DIALYSE;2021;330783374;CENTRE D'HEMODIALYSE PBNA;330000274;112BA;;;;30;154;22606;;;;;
DIALYSE;2021;330783374;CENTRE D'HEMODIALYSE PBNA;330000274;1130X;;;;10;11;1744;;;;;
DIALYSE;2021;330783374;CENTRE D'HEMODIALYSE PBNA;330000274;1210;;;;;13;;;;517;;
DIALYSE;2021;330783374;CENTRE D'HEMODIALYSE PBNA;330000274;121AX;;;;;8;;;;279;;
DIALYSE;2021;330783374;CENTRE D'HEMODIALYSE PBNA;330000274;121CX;;;;3;5;;;;238;;
DIALYSE;2021;330783374;CENTRE D'HEMODIALYSE PBNA;330000274;122AX;;;;1;3;;;;37;;
DIALYSE;2021;330783374;CENTRE D'HEMODIALYSE PBNA;330000274;TOT;0;;;;;;0;;;106;8
DIALYSE;2021;330795295;ANTENNE AUTODIALYSE CADDD;330007386;1140X;;;;10;24;3562;;;;;
DIALYSE;2021;330795295;ANTENNE AUTODIALYSE CADDD;330007386;TOT;0;;;;;;;4;;;
DIALYSE;2021;330795295;ANTENNE AUTODIALYSE CADDD;330007386;VACAN;;;;3;1;;;;;;
DIALYSE;2021;330795303;ANTENNE AUTODIALYSE CADDD;330007386;1140X;;;;7;0;344;;;;;
DIALYSE;2021;330795303;ANTENNE AUTODIALYSE CADDD;330007386;TOT;0;;;;;;0;2;;;
DIALYSE;2021;330795303;ANTENNE AUTODIALYSE CADDD;330007386;VACAN;;;;6;0;0;;;;;
DIALYSE;2021;330802364;ANTENNE AUTODIALYSE CADDD;330007386;1140X;;;;10;20;3197;;;;;
DIALYSE;2021;330802364;ANTENNE AUTODIALYSE CADDD;330007386;TOT;0;;;;;;0;4;;;
DIALYSE;2021;330802364;ANTENNE AUTODIALYSE CADDD;330007386;VACAN;;;;6;0;0;;;;;
DIALYSE;2021;340000223;HOPITAL ST CLAIR HBT SETE;340011295;TOT;0;;;;;;6;;;;
DIALYSE;2021;340009539;NEPHROLOGIE DIALYSE CENTRE ST GUILHEM;340009489;112AX;;;;2;16;2429;;;;;
DIALYSE;2021;340009539;NEPHROLOGIE DIALYSE CENTRE ST GUILHEM;340009489;112BA;;;;28;99;14985;;;;;
DIALYSE;2021;340009539;NEPHROLOGIE DIALYSE CENTRE ST GUILHEM;340009489;TOT;0;;;;;;0;4;;;
DIALYSE;2021;340013119;AIDER SANTE UAD GRABELS SITE CORDIER 1;340000264;1140X;;;;24;50;7331;;;;;
DIALYSE;2021;340013168;AIDER SANTE UDM CL JACQUES MIROUZE;340000264;112AX;;;;12;20;5011;;;;;
DIALYSE;2021;340013168;AIDER SANTE UDM CL JACQUES MIROUZE;340000264;1130X;;;;30;113;16492;;;;;
DIALYSE;2021;340013168;AIDER SANTE UDM CL JACQUES MIROUZE;340000264;TOT;1;5;150;;;;0;2;;25;0
DIALYSE;2021;340013218;AIDER SANTE UAD UDM POLYCL ST LOUIS;340000264;112AX;;;;1;2;513;;;;;
DIALYSE;2021;340013218;AIDER SANTE UAD UDM POLYCL ST LOUIS;340000264;1130X;;;;4;4;1221;;;;;
DIALYSE;2021;340013218;AIDER SANTE UAD UDM POLYCL ST LOUIS;340000264;1140X;;;;1;1;156;;;;;
DIALYSE;2021;340013218;AIDER SANTE UAD UDM POLYCL ST LOUIS;340000264;TOT;0;;;;;;0;1;;;
DIALYSE;2021;340013259;AIDER SANTE UAD BEDARIEUX;340000264;1140X;;;;7;4;638;;;;;
DIALYSE;2021;340013309;AIDER SANTE UAD UDM CH CLERMONT HLT;340000264;112AX;;;;1;1;1251;;;;;
DIALYSE;2021;340013309;AIDER SANTE UAD UDM CH CLERMONT HLT;340000264;1130X;;;;8;32;4447;;;;;
DIALYSE;2021;340013309;AIDER SANTE UAD UDM CH CLERMONT HLT;340000264;1140X;;;;1;7;191;;;;;
DIALYSE;2021;340013309;AIDER SANTE UAD UDM CH CLERMONT HLT;340000264;TOT;0;;;;;;0;1;;;
DIALYSE;2021;340013358;AIDER SANTE UAD BOUZIGUES;340000264;1140X;;;;6;9;1445;;;;;
DIALYSE;2021;340013499;AIDER SANTE UAD VILLENEUVE LES BEZIERS;340000264;1140X;;;;12;33;5884;;;;;
DIALYSE;2021;340015999;NEPHROCARE BEZIERS;940023831;112AX;;;;2;10;1728;;;;;
DIALYSE;2021;340015999;NEPHROCARE BEZIERS;940023831;112BA;;;;32;140;19794;;;;;
DIALYSE;2021;340015999;NEPHROCARE BEZIERS;940023831;1130X;;;;24;68;11170;;;;;
DIALYSE;2021;340015999;NEPHROCARE BEZIERS;940023831;TOT;0;;;;;;0;2;;67;
DIALYSE;2021;340016005;AUTODIALYSE DE LUNEL NEPHROCARE LUNEL;940023856;1140X;;;;11;18;2719;;;;;
DIALYSE;2021;340016005;AUTODIALYSE DE LUNEL NEPHROCARE LUNEL;940023856;TOT;0;;;;;;;;;1;
DIALYSE;2021;340017292;UADSA ST GUILHEM PAYS D'AGDE;340009489;1140X;;;;13;25;4447;;;;;
DIALYSE;2021;340019603;GCS HELP;340019587;112BA;;;;15;;8364;;;;;
DIALYSE;2021;340019603;GCS HELP;340019587;TOT;0;;;;;;0;;;0;0
DIALYSE;2021;340020221;AIDER SANTE DIALYSE A DOMICILE GRABELS;340000264;1150A;;;;57;69;17718;;;;;
DIALYSE;2021;340020221;AIDER SANTE DIALYSE A DOMICILE GRABELS;340000264;1210;;;;;137;;;;7486;;
DIALYSE;2021;340020221;AIDER SANTE DIALYSE A DOMICILE GRABELS;340000264;121AX;;;;;56;;;;3103;;
