BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23
ORG;2021;250021078;CLINIQUE DU PAYS DE MONTBELIARD;250021060;;;;;;;;;;;;;;;;1;A;B;;;;;;;;;;0;;;;;;
ORG;2021;260000013;CH DE VALENCE;260000021;;;;2;A;;;;;;;;;;;;;;3;C;;182;C;;;;;;;;;;;
ORG;2021;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;;;;2;A;;;;;;;;;;;1;D;;1;C;;727;A;;;;;0;;;;;;
ORG;2021;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;0;;;2;A;C;0;;;0;;;2;C;A;1;D;;0;;;115;A;C;83;C;D;0;;;;;;
ORG;2021;260000146;CH DE CREST;260000054;1;A;;;;;;;;;;;;;;;;;2;C;;;;;;;;;;;;;;
ORG;2021;260000153;LADAPT CSSR LA BAUME D'HOSTUN;930019484;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;1;RHÔNE VERCORS VIVARAIS;;;;
ORG;2021;260000237;CH DE NYONS;260000088;;;;;;;;;;1;C;D;1;A;;;;;;;;33;D;C;;;;0;;;;;;
ORG;2021;260000260;CLINIQUE LA PARISIERE;260000377;;;;1;B;;;;;;;;;;;;;;;;;18;C;;;;;0;;;;;;
ORG;2021;260000278;CH DE BUIS LES BARONNIES;260000096;;;;;;;;;;;;;;;;;;;;;;39;C;A;;;;0;;;;;;
ORG;2021;260000286;CH DE DIE;260000104;;;;1;A;;;;;;;;;;;;;;1;C;;66;C;D;;;;0;;;;;;
ORG;2021;260000682;LADAPT CMPR LES BAUMES;930019484;;;;;;;;;;;;;;;;;;;;;;10;;;;;;1;1;RHÔNE VERCORS VIVARAIS;;;;
ORG;2021;260000823;CH DROME-VIVARAIS - SITE DE MONTELEGER;260003264;;;;1;A;;;;;;;;2;B;;;;;;;;;;;;;;;;;;;;
ORG;2021;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;380793802;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;0;;;;;;
ORG;2021;260003215;AGDUC VALENCE / MARECHAL JUIN;380793802;;;;2;A;;;;;;;;;;;;;;;;;5;A;C;;;;0;;;;;;
ORG;2021;260005277;HOPITAL DE JOUR ADULTES MONTELIMAR;630786754;;;;;;;;;;;;;;;;;;;;;;32;C;A;;;;0;;;;;;
ORG;2021;260006267;CLINIQUE GENERALE VALENCE;070000245;;;;;;;;;;;;;;;;;;;;;;61;C;D;;;;0;;;;;;
ORG;2021;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;380793802;;;;1;A;;;;;;;;;;;;;;;;;4;C;A;;;;0;;;;;;
ORG;2021;260010418;AURAL UNITE DIALYSE CH VALENCE;690796552;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;0;;;;;;
ORG;2021;260012760;AURAL UNITE DIALYSE CH MONTELIMAR;690796552;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;0;;;;;;
ORG;2021;260017454;DIEULEFIT SANTE;260016761;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2021;260021688;AGDUC VALENCE / PIERRE TEZIER;380793802;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;260021795;SSR LE SAFRAN LADAPT;930019484;;;;;;;;;;;;;;;;;;;;;;12;;;;;;1;1;RHÔNE VERCORS VIVARAIS;;;;
ORG;2021;270000045;CH BERNAY;270000060;;;;1;D;;;;;;;;2;B;A;;;;;;;47;A;C;;;;;;;;;;
ORG;2021;270000326;HOPITAL PRIVE PASTEUR EVREUX;270000680;;;;;;;;;;;;;;;;3;A;;;;;;;;;;;0;;;;;;
ORG;2021;270000342;CMPR LA LOVIERE LOUVIERS;920030269;;;;;;;;;;;;;;;;;;;;;;;;;15;C;D;0;;;;;;
ORG;2021;270000359;CH EVREUX CH EURE-SEINE;270023724;;;;10;A;B;;;;;;;1;B;;3;D;;1;C;;105;C;A;5;C;A;;;;;;;
ORG;2021;270000367;CH GISORS;270000086;;;;;;;;;;;;;1;B;;1;B;;1;D;;158;D;;;;;1;1;EURE-SEINE PAYS D'OUCHE;;;;
ORG;2021;270000417;CTRE DE CONVALESCENCE L'HOSTREA NOYERS;760025734;;;;;;;;;;;;;;;;;;;;;;1;C;;0;;;1;1;EURE-SEINE PAYS D'OUCHE;;;;
ORG;2021;270000441;CH VERNEUIL-SUR-AVRE;270000110;;;;1;D;;;;;;;;;;;;;;;;;24;C;A;;;;;;;;;;
ORG;2021;270000474;HL SAINT-JACQUES LES ANDELYS;270000136;;;;3;A;B;;;;;;;;;;;;;1;D;;22;C;A;;;;;;;;;;
ORG;2021;270000482;CH PIERRE HURABIELLE BOURG-ACHARD;270000144;;;;2;A;G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;270000573;NOUVEL HOPITAL DE NAVARRE;270000219;;;;2;A;A;;;;;;;;;;;;;1;D;;19;C;C;2;G;C;;;;;;;
ORG;2021;270000862;CLINIQUE BERGOUIGNAN;270000953;;;;1;G;;;;;;;;;;;;;;;;;;;;;;;1;1;EURE-SEINE PAYS D'OUCHE;;;;
ORG;2021;270000870;CLINIQUE LES BRUYERES BROSVILLE;920031770;;;;;;;;;;;;;;;;;;;;;;;;;12;C;D;0;;;;;;
ORG;2021;270000896;CMPR LADAPT ST ANDRE DE L'EURE;930019484;;;;;;;;;;;;;;;;;;;;;;3;C;;;;;0;;;;;;
ORG;2021;270000912;HOPITAL LA MUSSE ST SEBASTIEN/MORSENT;750814030;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;270016058;HAD EURE SEINE;750047367;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;1;1;EURE-SEINE PAYS D'OUCHE;;;;
ORG;2021;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;140000852;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;270027279;CLINIQUE DES PORTES DE L'EURE;270027881;;;;;;;;;;;;;;;;1;A;;;;;4;C;E;;;;1;1;VAL DE SEINE ET PLATEAUX DE L'EURE;;;;
ORG;2021;280000050;CH BONNEVAL;280000142;;;;3;A;A;;;;;;;1;A;;;;;;;;;;;1;A;;;;;;;;
ORG;2021;280000084;CH DREUX;280000183;;;;8;C;A;;;;;;;4;A;B;;;;1;C;;224;C;A;;;;;;;;;;
ORG;2021;280000100;CH DE LA LOUPE;280000225;;;;4;A;B;;;;;;;3;A;;;;;;;;34;A;C;;;;0;;;;;;
ORG;2021;280000266;CRF BEAUROUVRE SITE DE BLANDAINVILLE;450018106;2;C;;;;;;;;;;;1;A;;;;;;;;21;C;;;;;0;;;;;;
ORG;2021;280000449;PÔLE MÉDICAL MAISON BLANCHE;920030269;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;280000662;CH CHATEAUDUN;280500075;;;;3;B;A;;;;;;;5;A;;1;D;;;;;;;;;;;1;1;EURE-ET-LOIRE;;;;
ORG;2021;280001678;ASSAD HAD D'EURE ET LOIR;370001638;;;;;;;;;;;;;2;B;A;;;;;;;2;A;C;;;;1;3;EURE-ET-LOIRE;TOURAINE VAL DE LOIRE;LOIRET;;
ORG;2021;280006594;A.I.R.B.P. IRC NOGENT-LE-ROTROU;280000852;;;;;;;;;;;;;;;;1;B;;;;;4;C;;;;;0;;;;;;
ORG;2021;280502741;A.I.R.B.P IRC CHARTRES;280000852;;;;;;;;;;;;;;;;1;B;;;;;4;C;;;;;0;;;;;;
ORG;2021;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;;;;2;A;B;;;;;;;1;A;;1;D;;;;;;;;;;;;;;;;;
ORG;2021;280503848;A.I.R.B.P. IRC - DREUX;280000852;;;;;;;;;;;;;;;;1;B;;;;;3;C;;;;;0;;;;;;
ORG;2021;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;;;;3;B;E;;;;;;;3;A;;1;D;;1;C;;516;;;;;;0;;;;;;
ORG;2021;280504309;A.I.R.B.P. IRC CHATEAUDUN;280000852;;;;;;;;;;;;;;;;1;B;;;;;3;C;;;;;0;;;;;;
ORG;2021;280504689;NEPHROCARE VERNOUILLET;940000060;;;;;;;;;;;;;;;;;;;;;;2;C;D;;;;1;1;EURE-ET-LOIRE;;;;
ORG;2021;280505223;INSTITUT DIABETOLOGIE NUTRITION CENTRE;440052041;;;;;;;;;;;;;1;B;;;;;;;;25;C;D;;;;0;;;;;;
ORG;2021;280506015;LE C.A.L.M.E. ILLIERS COMBRAY;280001264;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;290000025;CHIC QUIMPER;290020700;;;;9;A;D;5;C;D;;;;4;A;B;1;A;;;;;;;;;;;;;;;;;
ORG;2021;290000033;C.H. DES PAYS DE MORLAIX;290021542;;;;5;D;B;;;;;;;2;A;B;;;;;;;70;B;C;;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2021;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;;;;11;A;C;;;;1;A;;4;B;E;;;;;;;;;;1;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2021;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;;;;5;A;B;;;;;;;1;B;;;;;;;;5;A;C;;;;;;;;;;
ORG;2021;290000181;CENTRE HOSPITALIER DOUARNENEZ;290000074;;;;10;C;A;;;;;;;4;A;E;;;;1;D;;62;C;A;;;;;;;;;;
ORG;2021;290000207;CLINIQUE ST MICHEL ET STE ANNE;290029974;;;;;;;;;;;;;;;;1;A;B;;;;1;C;;1;A;;0;;;;;;
ORG;2021;290000215;POLYCLINIQUE QUIMPER SUD;290029974;;;;;;;;;;;;;;;;1;A;B;;;;1;C;;1;A;;0;;;;;;
ORG;2021;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;;;;1;D;;;;;;;;1;A;;;;;;;;;;;;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2021;290000272;CENTRE HOSPITALIER CROZON;290000090;;;;;;;1;B;;;;;;;;;;;;;;27;C;A;;;;;;;;;;
ORG;2021;290000322;CENTRE HOSPITALIER LESNEVEN;290000108;;;;3;C;A;;;;;;;2;A;B;;;;;;;;;;;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2021;290000371;CLINIQUE LES GLENANS;920030269;;;;1;B;;;;;;;;;;;;;;;;;1;A;;;;;0;;;;;;
ORG;2021;290000389;CENTRE HOSPITALIER LANMEUR;290000116;;;;3;A;B;;;;;;;3;A;B;;;;;;;18;C;A;;;;;;;;;;
ORG;2021;290000553;CENTRE MEDICAL -LE GUERVENAN-;290021542;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2021;290000686;CENTRE DE SOINS DE SUITE DE KERAMPIR;440042844;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2021;290000728;HOPITAL INSTRUCTION DES ARMEES;750821092;;;;2;C;C;;;;;;;;;;;;;;;;66;C;D;;;;;;;;;;
ORG;2021;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;;;;5;C;D;;;;;;;1;A;;;;;;;;;;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2021;290000850;STE BRESTOISE REIN ARTIFICIEL;920033578;;;;;;;;;;;;;;;;1;A;;;;;3;C;;;;;0;;;;;;
ORG;2021;290000918;EPSM FINISTERE SUD SITE QUIMPER;290000298;;;;10;D;B;;;;;;;6;A;B;;;;;;;80;C;A;;;;;;;;;;
ORG;2021;290002344;POLE RÉADAPT DE CORNOUAILLE SAINT YVI;440042844;;;;1;C;;;;;;;;2;A;;;;;;;;1;C;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2021;290003953;CRF DE TREBOUL;920030269;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;290004142;CLINIQUE DU GRAND LARGE;290022508;;;;;;;;;;;;;;;;;;;;;;14;C;A;;;;0;;;;;;
ORG;2021;290008853;CTRE DE LONG SEJOUR - CH DOUARNENEZ;290000074;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;290019777;POLYCLINIQUE DE KERAUDREN;290022508;;;;;;;;;;1;C;;;;;;;;;;;25;C;A;;;;0;;;;;;
ORG;2021;290023431;SAS CLINIQUE DE LA BAIE;290001049;;;;;;;;;;;;;;;;;;;;;;22;C;D;;;;0;;;;;;
ORG;2021;290036466;POLE READAPT DE CORNOUAILLE CONCARNEAU;440042844;;;;2;C;D;;;;;;;2;A;;;;;;;;1;C;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2021;290036474;POLE RÉADAPT DE CORNOUAILLE QUIMPER;440042844;;;;1;C;;;;;;;;2;A;;;;;;;;1;C;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2021;290036706;INSTITUT DE RÉADAPTATION DU CAP HORN;440055911;1;A;;;;;;;;;;;;;;;;;;;;7;C;D;;;;0;;;;;;
ORG;2021;290037548;MAISON SAINT JOSEPH;220020739;1;A;;2;A;;;;;;;;;;;;;;;;;6;C;;;;;0;;;;;;
ORG;2021;2A0000022;CH ND LA MISERICORDE;2A0000014;0;;;1;C;;0;;;0;;;1;D;;0;;;0;;;90;A;C;0;;;1;1;CORSE DU SUD;;;;
ORG;2021;2A0000154;CLINIQUE DU SUD DE LA CORSE;2A0000204;1;C;D;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;2A0000212;HOPITAL LOCAL DE BONIFACIO;2A0000170;0;;;1;B;;0;;;0;;;1;B;;0;;;0;;;35;C;D;0;;;;;;;;;
ORG;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;2A0000386;0;;;2;B;C;;;;;;;1;D;;;;;;;;1;B;;1;G;;0;;;;;;
ORG;2021;2A0001988;HAD AJACCIO ET GRAND AJACCIO;2A0001848;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;2A0002614;CENTRE HOSPITALIER DE SARTENE;2A0002606;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;2A0023271;USLD D' AJACCIO;2A0000014;0;;;0;;;0;;;0;;;0;;;0;;;0;;;3;A;;0;;;1;1;CORSE DU SUD;;;;
ORG;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-CORSE G2HC;;;;
ORG;2021;2B0000145;POLYCLINIQUE LA RESIDENCE MAYMARD;2B0000053;;;;;;;;;;;;;;;;;;;;;;38;C;;;;;0;;;;;;
ORG;2021;2B0000392;POLYCLINIQUE DE FURIANI;2B0000129;5;C;D;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-CORSE G2HC;;;;
ORG;2021;2B0000400;MAISON DE CONVALES LA PALMOLA;2B0000137;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;2B0001739;HAD DE CORSE;2B0001689;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-CORSE G2HC;;;;
ORG;2021;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO;130016058;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;2B0005359;CH CALVI;2B0005342;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;2B0005664;CLINIQUE DE TOGA;2B0005656;;;;;;;;;;;;;;;;;;;;;;38;C;;;;;0;;;;;;
ORG;2021;300000023;CH ALES CEVENNES;300780046;;;;1;C;;;;;;;;2;A;;;;;;;;241;C;;;;;0;;;;;;
ORG;2021;300000031;CH LOUIS PASTEUR;300780053;1;C;;3;D;C;;;;;;;;;;;;;8;C;D;;;;;;;;;;;;;
ORG;2021;300000056;CH PONT ST ESPRIT;300780079;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;
ORG;2021;300000072;CH LE VIGAN;300780095;;;;;;;;;;;;;;;;;;;;;;38;C;A;;;;;;;;;;
ORG;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;300780103;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2021;300000478;CH LES CHATAIGNIERS;300781010;;;;1;D;;;;;;;;1;A;;;;;;;;4;C;;;;;;;;;;;
ORG;2021;300000759;CIGALIERES;300000759;;;;1;C;B;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;300002128;CHATEAU DE COULORGUES;300000247;;;;;;;;;;;;;;;;;;;;;;5;C;;;;;0;;;;;;
ORG;2021;300002169;SSR GERIATRIQUE LES CADIERES;780020715;;;;;;;;;;;;;;;;;;;;;;18;D;;1;A;;0;;;;;;
ORG;2021;300002508;CL DU GRAND AVIGNON;300000213;;;;;;;;;;;;;;;;;;;;;;1;D;;;;;0;;;;;;
ORG;2021;300007119;AIDER SANTE UAD UDM CH ALES 1;340000264;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2021;300008588;NEPHROCARE HEMODIALYSE CENTRE NIMES;940023849;;;;;;;;;;;;;;;;1;A;;;;;10;C;;;;;0;;;;;;
ORG;2021;300008638;NEPHROCARE UDM BAGNOLS SUR CEZE;940023849;;;;;;;;;;;;;;;;1;A;;;;;5;C;;;;;0;;;;;;
ORG;2021;300012309;ADENE HAD NIMES;340027937;;;;;;;;;;;;;;;;;;;;;;8;;;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2021;300012358;CENTRE MEDICAL DE L'EGREGORE UGECAM;340015171;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;300013745;ADENE HAD ALES;340027937;;;;;;;;;;;;;;;;;;;;;;10;C;;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2021;300013778;HAD 3G SANTE NIMES;300013760;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2021;300014040;GCS CTRE REEDUC GARD RHODANIEN;300014024;;;;1;D;;;;;;;;;;;;;;;;;9;C;;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2021;300017209;KENVAL ICG;300000726;;;;1;C;;;;;;;;;;;3;B;A;;;;;;;;;;0;;;;;;
ORG;2021;300017423;CENTRE MEDICAL DE L'EGREGORE AUDAVIE;380804542;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;340000264;;;;1;F;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2021;300017498;CL AMBULATOIRE DE LA CEZE;300000155;;;;1;D;;1;C;;;;;;;;;;;;;;11;C;;;;;0;;;;;;
ORG;2021;300780111;SSR FILIERIS LA POMAREDE;750050759;;;;;;;;;;;;;;;;;;;;;;;;;1;C;;0;;;;;;
ORG;2021;300780137;NOUVELLE CL BONNEFON;920028396;;;;;;;;;;;;;;;;;;;;;;62;C;D;;;;0;;;;;;
ORG;2021;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;300017985;1;C;;;;;;;;;;;;;;3;A;B;;;;;;;;;;0;;;;;;
ORG;2021;300780210;CL BELLE RIVE;300000148;;;;;;;;;;;;;;;;;;;;;;22;C;A;;;;0;;;;;;
ORG;2021;300780244;CL DU PONT DU GARD;920030269;;;;;;;;;;;;;;;;;;;;;;8;;;;;;0;;;;;;
ORG;2021;300780384;CENTRE PROTECTION INFANTILE MONTAURY;750721334;;;;;;;;;;1;C;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;300780491;CL LES OLIVIERS;340016963;;;;;;;;;;;;;;;;;;;;;;13;C;;;;;0;;;;;;
ORG;2021;300781424;CL LA CAMARGUE MONT DUPLAN;300000692;0;;;0;;;0;;;0;;;0;;;0;;;0;;;15;C;;0;;;0;;;;;;
ORG;2021;300781440;CSSR DOMAINE DU CROS;300000700;0;;;0;;;0;;;0;;;0;;;0;;;0;;;10;C;;0;;;0;;;;;;
ORG;2021;300781465;POLYCL KENNEDY;300000726;0;;;0;;;0;;;0;;;0;;;3;A;;0;;;0;;;0;;;0;;;;;;
ORG;2021;300782117;CHU NIMES CAREMEAU;300780038;1;C;;5;B;D;1;D;;4;C;E;;;;1;D;;15;E;C;76;C;D;;;;;;;;;;
ORG;2021;300786274;INSTITUT REINSERTION AVEUGLES ARAMAV;300786266;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;300788502;POLYCL GRAND SUD;300017985;;;;;;;;;;;;;;;;3;A;B;;;;37;C;D;;;;0;;;;;;
ORG;2021;310000013;HOPITAUX LUCHON CTRE CONVAL GERONTO;310180013;;;;1;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;310000369;CH GERARD MARCHANT;310780754;;;;2;C;;;;;;;;1;B;;;;;;;;;;;;;;;;;;;;
ORG;2021;310005459;HAD SANTE RELAIS DOMICILE;310021886;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2021;310013628;CH MURET;310786256;;;;2;A;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;310019351;HOPITAL LARREY CHU TLSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;310020938;CL KORIAN VAL DE SAUNE;750056335;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2021;310021571;CENTRE GERIATRIQUE DES MINIMES;310021563;;;;1;D;;;;;;;;1;B;;;;;;;;3;C;D;1;A;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2021;310022298;HOPITAL GARONNE CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;310023007;CL LA RECOUVRANCE;810005678;;;;;;;;;;;;;;;;;;;;;;11;;;;;;0;;;;;;
ORG;2021;310025333;ONCOPOLE CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;310026083;CL RIVE GAUCHE;310026075;;;;2;A;E;;;;;;;1;E;E;3;E;;;;;1;A;;;;;0;;;;;;
ORG;2021;310026927;CL CAPIO LA CROIX DU SUD;310026794;;;;;;;;;;;;;;;;;;;;;;79;D;A;;;;0;;;;;;
ORG;2021;310780143;CL DU CHATEAU DE SEYSSES;920030269;;;;;;;;;;;;;;;;;;;;;;6;D;;;;;0;;;;;;
ORG;2021;310780234;CL DU CABIROL;920030871;;;;;;;;;;;;;;;;;;;;;;;;;34;C;D;0;;;;;;
ORG;2021;310780259;CL PASTEUR;310000096;1;C;;4;A;;;;B;;;;;;;1;A;;;;;115;C;;;;;1;2;HAUTE-GARONNE ET TARN OUEST;GERS;;;
ORG;2021;310780358;MAISON DE SANTE DE MAILHOL;310000146;0;;;;;;;;;;;;;;;;;;;;;10;C;B;;;;0;;;;;;
ORG;2021;310780366;CL MONIE;310000153;;;;1;D;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;310780374;CL DU CHATEAU DE VERNHES;310000161;;;;1;D;;;;;;;;;;;;;;;;;20;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2021;310780390;CL DE BEAUPUY;310000187;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;310781000;CL DES CEDRES;310788880;;;;2;C;E;;;;;;;;;;1;A;;;;;7;C;C;;;;0;;;;;;
ORG;2021;310781067;HOPITAL JOSEPH DUCUING;310788898;;;;;;;;;;;;;;;;2;D;;;;;;;;;;;0;;;;;;
ORG;2021;310781125;CL ST ROCH;310000419;;;;;;;;;;1;A;;1;A;;;;;;;;26;C;;;;;0;;;;;;
ORG;2021;310781133;CLINIQUE D'AUFRERY;310000427;;;;1;D;A;;;;;;;1;E;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;310781141;CL DU VIEUX CHATEAU D'OC;310000435;;;;;;;;;;;;;;;;;;;;;;14;C;C;;;;0;;;;;;
ORG;2021;310781158;CL MARIGNY;920031762;;;;;;;;;;;;;;;;;;;;;;9;C;E;;;;0;;;;;;
ORG;2021;310781174;KORIAN MONTVERT;750056335;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2021;310781422;CENTRE PAUL DOTTIN;310781562;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;310781430;CENTRE POSTCURE ROUTE NOUVELLE;310788906;;;;;;;;;;;;;1;E;;;;;;;;;;;;;;0;;;;;;
ORG;2021;310781984;CL DE VERDAICH;310014378;;;;;;;;;;;;;;;;;;;;;;25;C;D;;;;0;;;;;;
ORG;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;1;C;;1;E;;;;;;;;1;B;;;;;;;;;;;;;;0;;;;;;
ORG;2021;310782065;AAIR MIDI PYRENEES;310000633;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;1;2;GERS;ROUERGUE;;;
ORG;2021;310782347;INSTITUT CLAUDIUS REGAUD;310789136;;;;5;C;A;;;;;;;4;E;B;;;;;;;1;A;;;;;0;;;;;;
ORG;2021;310782446;ARSEAA;310782446;;;;;;;;;;;;;;;;;;;;;;4;C;;;;;0;;;;;;
ORG;2021;310783048;HOPITAL PURPAN CHU TLSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;310783063;HOPITAL LA GRAVE CHU TLSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;310783097;CENTRE DE SANTE MENTALE MGEN TOULOUSE;750005068;;;;1;B;;;;;;;;1;B;;1;A;;;;;5;C;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2021;310784558;HOPITAUX LUCHON CTRE REEDUC FONCTION;310180013;;;;1;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;310786389;CL DES PYRENEES;310001433;0;;;0;;;0;;;0;;;0;;;0;;;0;;;10;C;;1;G;;0;;;;;;
