BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_REE;HPLETP_EDU
PSY;2021;330780289;HOPITAL DE JOUR L'OISEAU LYRE;330790809;TOT;1;;;0;;;;;;;;33;;;;;;;;;;;4782;;;;;;;;;;;;;;39;;;;1;;1;;;;;;17;7;22;3;;1;2;10;;;;;;;;;;;;;;
PSY;2021;330780297;CLINIQUE ANOUSTE;330000175;GEN;;;;;34;;;;;;12410;35;;;387;13377;;;;;;;10619;;;;;;;;;;;;;;468;;299;;;5;;;1;0.34;0;1;16;9;19.32;10.97;7.5;0.44;;0.4;;3;;;1;0.34;13;3;14.47;7.47;7;;;
PSY;2021;330780297;CLINIQUE ANOUSTE;330000175;TOT;0;;;0;34;;;;;;12410;35;;;387;13377;;;;;;;10619;;;;;;;;;;;;;;468;;299;;;5;;;1;0.34;;;16;9;19.32;10.97;7.5;0.44;;0.4;;3;;;1;0.34;13;3;14.47;7.47;7;;;
PSY;2021;330780313;MAISON DE SANTE LES PINS;330000191;GEN;;;;;79;;;;;;28835;;;;1198;29663;;;;;;;;;;;;;;;;;;;;;588;;588;3;3;4;4.7;;8;3.18;0;0;28;1;28.5;26;2;;0.5;;;;;;;;;;;;;;;
PSY;2021;330780313;MAISON DE SANTE LES PINS;330000191;TOT;0;;;0;79;;;;;;28835;;;;1198;29663;;;;;;;;;;;;;;;;;;;;;588;;588;3;3;4;4.7;;8;3.18;;;28;1;28.5;26;2;;0.5;;;;;;;;;;;;;;;
PSY;2021;330780321;CLINIQUE BETHANIE;330000209;GEN;;;;;84;;;;;;30660;15;;;687;25079;;;;;;;6805;;;;;;;;;;;;;;998;;572;1;;11;0.71;;6;1.51;0;0;41;17;40.48;28.16;6.66;1.1;1.97;1.97;;7;;;5;1.27;32;12;36.24;25.79;6.66;0.73;1.47;1.97
PSY;2021;330780321;CLINIQUE BETHANIE;330000209;INF;;;;;;;;;;;;20;;;;;;;;;;;2122;;;;;;;;;;;;;;129;;;;;2;0.4;;;;0;0;4;3;4.88;3.28;;1;0.5;0.1;;;;;;;;;;;;;;
PSY;2021;330780321;CLINIQUE BETHANIE;330000209;TOT;0;;;0;84;;;;;;30660;35;;;687;25079;;;;;;;8927;;;;;;;;;;;;;;931;;471;1;;13;1.11;;6;1.51;;;45;18;45.36;31.44;6.66;2.1;2.47;2.07;;7;;;5;1.27;32;12;36.24;25.79;6.66;0.73;1.47;1.97
PSY;2021;330780636;CSMI RENOVATION - CMP BORDEAUX-NORD;330785072;INF;;1;;;;;;;;;;;;;;;;;;;;;;;;3;4;;1;20970;;4194;;;;;1948;1948;;;;6;2.9;;;;0;0;20;24;32.31;6;;10.01;11.8;4.5;;;;;;;;;;;;;;
PSY;2021;330780636;CSMI RENOVATION - CMP BORDEAUX-NORD;330785072;TOT;1;;0;0;;;;;;;;;;;;;;;;;;;;;;3;4;;1;20970;;4194;;;;;1948;1948;;;;6;2.9;;;;;;20;24;32.31;6;;10.01;11.8;4.5;;;;;;;;;;;;;;
PSY;2021;330780776;CLINIQUE LES HORIZONS;330056839;GEN;;;;;78;;;;;;28470;;;;575;28748;;;;;;;;;;;;;;;;;;;;;421;;421;8;4;;;;;;;;29;17;26.7;17.08;9.07;1.12;0;0.6;;;;;;;;;;;;;;
PSY;2021;330780776;CLINIQUE LES HORIZONS;330056839;TOT;0;;;0;78;;;;;;28470;;;;575;28748;;;;;;;;;;;;;;;;;;;;;421;;421;8;4;;;;;;;;29;17;26.7;17.08;9.07;1.12;0;0.6;;;;;;;;;;;;;;
PSY;2021;330781170;CENTRE READAPT PASTEUR - RENOVATION;330785072;GEN;;;;;42;;;;;;13330;6;2;;198;11908;;;;;;;172;34;;;;;;;;;;;;;96;;85;20;;3;1.5;;3;1;0;0;23;6;27.1;7.6;5;1.65;;13.25;;;;;;;23;6;;;;;;
PSY;2021;330781170;CENTRE READAPT PASTEUR - RENOVATION;330785072;TOT;0;;;0;42;;;;;;13330;6;2;;198;11908;;;;;;;172;34;;;;;;;;;;;;;96;;85;20;;3;1.5;;3;1;;;23;6;27.1;7.6;5;1.65;;13.25;;;;;;;23;6;;;;;;
PSY;2021;330781188;CTRE DE REHABILITATION PSYCHO-SOCIALE;330056540;GEN;;;;;25;;;;;;8950;25;;;338;3784;;;;;;;4255;;;;;;;;;;;;;;279;;47;2;1;2;2.31;;1;0.34;0;1;19;12;26.07;10.55;0;0.99;6.73;6.99;;;;;;;;;;;;;;
PSY;2021;330781188;CTRE DE REHABILITATION PSYCHO-SOCIALE;330056540;TOT;0;;;0;25;;;;;;8950;25;;;338;3784;;;;;;;4255;;;;;;;;;;;;;;279;;47;2;1;2;2.31;;1;0.34;;;19;12;26.07;10.55;0;0.99;6.73;6.99;;;;;;;;;;;;;;
PSY;2021;330781303;HIA ROBERT PICQUE;750821092;GEN;;;;;16;0;0;0;0;0;5592;0;0;0;549;3736;0;0;0;0;0;0;0;0;0;0;1;0;0;4253;0;0;0;0;0;0;1565;1387;68;0;4;2;4.21;;;;0;0;22;2;23.26;7.51;8.58;1.34;2;0;;;;;;;;;;;;;;
PSY;2021;330781303;HIA ROBERT PICQUE;750821092;TOT;0;;;0;16;0;0;0;0;0;5592;0;0;0;549;3736;0;0;0;0;0;0;0;0;0;0;1;0;0;4253;0;0;0;0;0;0;1565;1387;68;0;4;2;4.21;;;;;;22;2;23.26;7.51;8.58;1.34;2;0;;;;;;;;;;;;;;
PSY;2021;330782350;CENTRE PSYCHOTHERAPIQUE LES PLATANES;330000480;INF;;;;;;;;;;;;35;;;;;;;;;;;7862;;;;;;;;;;;;;;94;;;;;4;2.1;;;;0;0;16;11;22.48;3.14;;2.49;4.09;12.76;;;;;;;;;;;;;;
PSY;2021;330782350;CENTRE PSYCHOTHERAPIQUE LES PLATANES;330000480;TOT;0;;;0;;;;;;;;35;;;;;;;;;;;7862;;;;;;;;;;;;;;94;;;;;4;2.1;;;;;;16;11;22.48;3.14;;2.49;4.09;12.76;;;;;;;;;;;;;;
PSY;2021;330783614;HOPITAL DE JOUR DU PARC - RENOVATION;330785072;GEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;15;26.49;7.05;2.33;2.25;0.95;13.91;;;;;;;;;;;;;;
PSY;2021;330783614;HOPITAL DE JOUR DU PARC - RENOVATION;330785072;INF;;;;;;;;;;;;35;12;;;;;;;;;;8089;917;;;;;;;;;;;;;197;;;;;7;3.43;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2021;330783614;HOPITAL DE JOUR DU PARC - RENOVATION;330785072;TOT;0;;;0;;;;;;;;35;12;;;;;;;;;;8089;917;;;;;;;;;;;;;197;;;;;7;3.43;;;;;;20;15;26.49;7.05;2.33;2.25;0.95;13.91;;;;;;;;;;;;;;
PSY;2021;330783721;HOPITAL GARDEROSE;330781253;GEN;;2;;;95;8;;;;;34675;57;;;832;32711;965;;;;;;7391;;0;5;1;19;8;20020;8475;4031;7158;368;5684;0;4937;4213;579;87;12;11;17.07;0;2;1.04;1;0;201;29;226.9;122.56;32.57;7.03;1;10.63;7;6;9.36;0;2;1.04;110;27;126.99;64.67;28.64;1.25;0.4;3.49
PSY;2021;330783721;HOPITAL GARDEROSE;330781253;INF;;1;;;8;5;;;;;2920;48;;;461;669;318;;;;;;3625;;0;1;2;10;4;14043;1489;4564;95;0;865;452;1814;1512;75;0;5;5;5.55;0;0;0;0;1;58;24;75.66;36.93;;8.52;5.79;7.68;0;2;1.57;0;0;0;12;7;15.92;11.16;;0.11;0.14;0.77
PSY;2021;330783721;HOPITAL GARDEROSE;330781253;TOT;1;;0;0;103;13;;;;;37595;105;;;1293;33380;1283;;;;;;11016;;0;6;3;29;12;34063;9964;8595;7253;368;6549;452;6437;5542;646;87;17;16;22.62;0;2;1.04;;;259;53;302.56;159.49;32.57;15.55;6.79;18.31;7;8;10.93;0;2;1.04;122;34;142.91;75.83;28.64;1.36;0.54;4.26
PSY;2021;330783960;HOPITAL DE JOUR CENTRE SANTE MENT MGEN;750005068;GEN;;;;;;;;;;;;62;;;;;;;;;;;10839;;;;;1;;;2491;;;;;764;544;388;156;;4;2;4.67;;1;0.2;;;11;10;14.03;9.44;;2.59;0.5;1.5;;;;;;;;;;;;;;
PSY;2021;330783960;HOPITAL DE JOUR CENTRE SANTE MENT MGEN;750005068;TOT;0;;;0;;;;;;;;62;;;;;;;;;;;10839;;;;;1;;;2491;;;;;764;544;388;156;;4;2;4.67;;1;0.2;;;11;10;14.03;9.44;;2.59;0.5;1.5;;;;;;;;;;;;;;
PSY;2021;330802752;CENTRE JEAN ABADIE - CHU;330781196;INF;;;;;10;;;;;;3318;5;;;108;2897;;;;;;;212;;;;;1;;;253;;;;;;126;24;73;;3;8;7.59;;;;;1;23;15;26.26;13.92;5.44;1.15;0.9;1.8;;;;;;;;;;;;;;
PSY;2021;330802752;CENTRE JEAN ABADIE - CHU;330781196;TOT;0;;;0;10;;;;;;3318;5;;;108;2897;;;;;;;212;;;;;1;;;253;;;;;;126;24;73;;3;8;7.59;;;;;;23;15;26.26;13.92;5.44;1.15;0.9;1.8;;;;;;;;;;;;;;
PSY;2021;340000033;CH BEZIERS;340780055;GEN;;3;;;;;;;10;;;;;;;;;;;2660;;;;;;;;1;;;594;;7;;4797;;2207;1470;455;;3;2;2.78;;;0.01;1;;21;3;21.12;16.23;;1.38;;0.36;3;1;1.97;;;;18;1;17.06;12.37;;0.88;;0.36
PSY;2021;340000033;CH BEZIERS;340780055;INF;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;388;;;;74;;200;190;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
PSY;2021;340000033;CH BEZIERS;340780055;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6014;;;;1261;1230;;;2;1;0.89;;1;0.33;;;2;1;2.81;;;2.81;;;2;1;0.89;;1;0.33;2;1;2.81;;;2.81;;
PSY;2021;340000033;CH BEZIERS;340780055;TOT;1;;1;1;;;;;10;;;;;;;;;;;2660;;;;;;;;2;;;982;;6021;;4871;;3609;2851;455;;5;3;3.67;;1;0.34;;;23;4;23.93;16.23;;4.19;;0.36;5;2;2.86;;1;0.33;20;2;19.87;12.37;;3.69;;0.36
PSY;2021;340000223;HOPITAL ST CLAIR HBT SETE;340011295;GEN;;1;;;24;0;0;0;0;0;8760;15;0;0;425;6542;0;0;0;0;0;0;2436;0;0;0;1;1;1;8881;7498;3646;816;231;967;0;293;37;256;1;3;1;5.11;1;;0.08;0;0;38;17;52.7;30.49;7.8;3.58;0.17;0;1;2;0.7;;;;;;;;;;;
PSY;2021;340000223;HOPITAL ST CLAIR HBT SETE;340011295;INF;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;;;;;;;;;0;0;;;;;;;;;;;;
PSY;2021;340000223;HOPITAL ST CLAIR HBT SETE;340011295;TOT;1;;0;0;24;0;0;0;0;0;8760;15;0;0;425;6542;0;0;0;0;0;0;2436;0;0;0;1;1;1;8881;7498;3646;816;231;967;0;293;37;256;1;3;1;5.11;1;;0.08;;;38;17;52.7;30.49;7.8;3.58;0.17;0;1;2;0.7;;;;;;;;;;;
PSY;2021;340010149;CL ST CLEMENT;340010099;GEN;;;;;70;;;;;;25550;12;;;233;23728;;;;;;;5586;;;;;;;;;;;;;;323;;;;1;3;2.6;;2;0.52;0;1;25;13;32.31;13.3;6.3;3;6.71;3;;;;;;;;;;;;;;
PSY;2021;340010149;CL ST CLEMENT;340010099;TOT;0;;;0;70;;;;;;25550;12;;;233;23728;;;;;;;5586;;;;;;;;;;;;;;323;;;;1;3;2.6;;2;0.52;;;25;13;32.31;13.3;6.3;3;6.71;3;;;;;;;;;;;;;;
PSY;2021;340016732;HJ PSY ADULTES SITE PERREAL;340780055;GEN;;3;;;128;5;;;;;46720;44;1;;1072;34966;496;;;;;;14428;9;;1;4;1;;15409;872;;3680;50;35;1;3713;2740;665;20;10;8;12.79;;3;1.22;1;;206;22;216.2;128.15;34.4;8.43;7.19;7.54;7;2;4.86;;1;0.05;146;9;147.52;85.77;33.86;2.25;0.07;3.7
PSY;2021;340016732;HJ PSY ADULTES SITE PERREAL;340780055;INF;;1;;;;2;;;;;;12;;;17;;17;;;;;;2832;;;;4;1;;12995;6;;352;7;372;72;1263;1193;1;;2;4;4.37;;;;1;;23;23;37.68;10.59;;8.95;3.1;11.84;;;;;;;;;;;;;;
PSY;2021;340016732;HJ PSY ADULTES SITE PERREAL;340780055;TOT;1;;1;1;128;7;;;;;46720;56;1;;1089;34966;513;;;;;;17260;9;;1;8;2;;28404;878;;4032;57;407;73;4951;3915;666;20;12;12;17.16;;3;1.22;;;227;44;253.88;138.74;34.4;17.38;10.29;19.38;7;2;4.86;;1;0.05;146;9;147.52;85.77;33.86;2.25;0.07;3.7
PSY;2021;340780121;CL LA PERGOLA;340000082;GEN;;;;;95;;;;;;34675;15;;;611;33213;;;;;;;5573;;;;;;;;;;;;;;614;;614;;;7;6;1;1;1.2;1;1;71;27;51.05;34.55;12;1.75;;2.75;;;;;;;;;;;;;;
PSY;2021;340780121;CL LA PERGOLA;340000082;TOT;0;;;0;95;;;;;;34675;15;;;611;33213;;;;;;;5573;;;;;;;;;;;;;;614;;614;;;7;6;1;1;1.2;;;71;27;51.05;34.55;12;1.75;;2.75;;;;;;;;;;;;;;
PSY;2021;340780485;CHS LA COLOMBIERE CHU MONTPELLIER;340780477;GEN;;7;;;224;23;9;;;;81458;147;;;2274;73096;749;1472;;;;;33318;;;;11;22;18;61925;54843;27901;13364;5943;5262;78;14943;12213;1563;43;43;9;38.58;3;1;1.7;0;1;549;40;536.55;392.36;60.75;26.67;2;24.61;;;;;;;;;;;;;;
PSY;2021;340780485;CHS LA COLOMBIERE CHU MONTPELLIER;340780477;INF;;1;;;;2;;;;;;32;;;;;561;;;;;;11922;;;;1;8;;853;13523;;13;6;;18;3778;2779;1;;5;7;9.02;;1;0.28;0;1;55;15;58.13;26.84;2.5;11.05;3.82;10.17;;;;;;;;;;;;;;
PSY;2021;340780485;CHS LA COLOMBIERE CHU MONTPELLIER;340780477;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4919;;;;1051;961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2021;340780485;CHS LA COLOMBIERE CHU MONTPELLIER;340780477;TOT;1;;10;0;224;25;9;;;;81458;179;;;2274;73096;1310;1472;;;;;45240;;;;12;30;18;62778;68366;27901;18296;5949;5262;96;18899;15724;1564;43;48;16;47.6;3;2;1.98;;;604;55;594.68;419.2;63.25;37.72;5.82;34.78;;;;;;;;;;;;;;
PSY;2021;340780758;CL RECH;340000355;GEN;;;;;168;;;48;;;61320;14;;;1147;48096;;;13276;;;;4556;;;;;;;;;;;;;;1160;0;718;13;4;5;5.46;1;2;2.3;0;1;87;10;88.56;40.84;27.03;3.7;4.59;12.04;4;3;4.66;1;2;2.13;82;9;82.7;36.84;27.03;2.9;4.39;11.54
PSY;2021;340780758;CL RECH;340000355;TOT;0;;;0;168;;;48;;;61320;14;;;1147;48096;;;13276;;;;4556;;;;;;;;;;;;;;1160;0;718;13;4;5;5.46;1;2;2.3;;;87;10;88.56;40.84;27.03;3.7;4.59;12.04;4;3;4.66;1;2;2.13;82;9;82.7;36.84;27.03;2.9;4.39;11.54
PSY;2021;340780766;CLINIQUE LA LIRONDE;920030269;GEN;;;;;107;;;;;;39055;;;;898;36890;;;;;;;;;;;;;;;;;;;;;654;;654;;1;1;2.06;1;3;2.8;0;0;;;66.12;29.26;11.37;2.6;3.15;5.04;1;1;2.06;1;3;2.8;;;66.12;29.26;11.37;2.6;3.15;5.04
PSY;2021;340780766;CLINIQUE LA LIRONDE;920030269;INF;;;;;14;;;;;;5110;;;;163;4402;;;;;;;;;;;;;;;;;;;;;97;;97;;;1;0.28;;1;0.38;0;0;;;9.01;3.99;1.55;0.35;0.42;0.68;;1;0.28;;1;0.38;;;9.01;3.99;1.55;0.35;0.42;0.68
PSY;2021;340780766;CLINIQUE LA LIRONDE;920030269;TOT;0;;;0;121;;;;;;44165;;;;1061;41292;;;;;;;;;;;;;;;;;;;;;748;;748;;1;2;2.34;1;4;3.18;;;;;75.13;33.25;12.92;2.95;3.57;5.72;1;2;2.34;1;;3.18;;;75.13;33.25;12.92;2.95;3.57;5.72
PSY;2021;340780782;CL STELLA;340000371;GEN;;;;;164;;;;;;59860;;;;934;51176;;;;;;;;;;;;;;;;;;;;;690;;690;9;;;;;11;6.62;1;1;96;38;116;53.3;20;2.5;1;1.77;;;;;;;;;;;;;;
PSY;2021;340780782;CL STELLA;340000371;TOT;0;;;0;164;;;;;;59860;;;;934;51176;;;;;;;;;;;;;;;;;;;;;690;;690;9;;;;;11;6.62;;;96;38;116;53.3;20;2.5;1;1.77;;;;;;;;;;;;;;
PSY;2021;340780790;CL ST ANTOINE;340000389;GEN;;;;;67;0;0;0;8;0;27375;0;0;0;389;16518;;;;2641;;;;;;;;;;;;;;;;;322;;322;1;4;;4;3;2;3.32;0;1;40;17;49.43;19.69;23.7;1;3.3;1.71;4;;4;3;2;3.28;;;;;;;;
PSY;2021;340780790;CL ST ANTOINE;340000389;TOT;0;;;0;67;0;0;0;8;0;27375;0;0;0;389;16518;;;;2641;;;;;;;;;;;;;;;;;322;;322;1;4;;4;3;2;3.32;;;40;17;49.43;19.69;23.7;1;3.3;1.71;4;;4;3;2;3.28;;;;;;;;
PSY;2021;340780931;CL ST MARTIN VIGNOGOUL;340000454;GEN;;;;;90;;;;;;31786;12;;;225;31786;;;;;;;6265;;;;;;;;;;;;;;301;;;;5;;;;4;3.71;0;0;60;23;74.14;35.67;0;5.03;;1.5;;;;;;;;;;;;;;
PSY;2021;340780931;CL ST MARTIN VIGNOGOUL;340000454;TOT;0;;;0;90;;;;;;31786;12;;;225;31786;;;;;;;6265;;;;;;;;;;;;;;301;;;;5;;;;4;3.71;;;60;23;74.14;35.67;0;5.03;;1.5;;;;;;;;;;;;;;
PSY;2021;340782036;HOPITAL ST ELOI CHU MONTPELLIER;340780477;GEN;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;
PSY;2021;340782036;HOPITAL ST ELOI CHU MONTPELLIER;340780477;INF;;1;;;10;1;;;;;3650;43;;;173;2690;41;;;;;;10863;;;;1;4;;2591;12288;;256;12;127;25;3189;2242;84;;7;4;7.18;3;;1.5;0;1;71;9;69.52;37.8;6.98;8.12;2.34;9.88;;;;;;;;;;;;;;
PSY;2021;340782036;HOPITAL ST ELOI CHU MONTPELLIER;340780477;TOT;1;;0;0;10;1;;;;;3650;43;;;173;2690;41;;;;;;10863;;;;1;4;;2591;12288;;256;12;127;25;3189;2242;84;;7;4;7.18;3;;1.5;;;71;9;69.52;37.8;6.98;8.12;2.34;9.88;;;;;;;;;;;;;;
PSY;2021;340787266;HJ PSY INFANTO JUVENILE HBT SETE;340011295;GEN;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2021;340787266;HJ PSY INFANTO JUVENILE HBT SETE;340011295;INF;;1;;;1;0;;;0;0;365;16;0;0;0;;;;;;;0;2187;;;0;3;2;1;8367;57;0;38;849;288;640;1106;1000;0;0;4;;4.22;;;;;;21;10;26.13;5.72;;6.64;4.36;6.41;;;;;;;;;;;;;;
PSY;2021;340787266;HJ PSY INFANTO JUVENILE HBT SETE;340011295;TOT;1;;;0;1;0;;;0;0;365;16;0;0;0;;;;;;;0;2187;;;0;3;2;1;8367;57;0;38;849;288;640;1106;1000;;;4;;4.22;;;;;;21;10;26.13;5.72;;6.64;4.36;6.41;;;;;;;;;;;;;;
PSY;2021;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;GEN;;2;;;80;;10;;;;29200;20;;;693;27775;0;;;;;0;2211;0;0;;4;1;4;23865;1110;5100;6311;1999;6139;;4607;4059;494;17;;9;8;;2;0.3;0;1;124;82;158.49;107.41;34.09;8.07;0.36;4.69;;;;;;;89;15;96.25;58.96;31.12;2.83;;
PSY;2021;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;INF;;1;;;7;;;;;;2555;28;;;178;2162;;;;;;;2505;;;;3;1;3;18423;1486;252;320;43;305;;1877;1737;111;0;;4;3.7;;;;0;1;24;67;57.72;26.9;4.58;10.5;6;8.45;;;;;;;;;;;;;;
PSY;2021;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;PEN;;;;;;;;;;;;;;;;;;;;;;;576;;;;;;;;;;;;;;166;166;0;0;;1;0.13;;;;;;1;4;3.61;3.31;;0.3;;;;;;;;;1;3;3.31;3.31;;;;
PSY;2021;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;TOT;1;;;1;87;;10;;;;31755;48;;;871;29937;0;;;;;0;5292;0;0;;7;2;7;42288;2596;5352;6631;2042;6444;;6435;5752;600;17;;14;11.83;;2;0.3;;;149;152;219.82;137.62;38.67;18.87;6.36;13.14;;;;;;;90;18;99.56;62.27;31.12;2.83;;
PSY;2021;350000162;CHIRC SITE REDON;350000048;GEN;;1;;;25;3;2;;;;10950;12;;;366;7173;751;496;;;;;1383;;;;1;2;2;12723;710;2903;;;;;1876;1379;288;;3;2;4.78;;;;;1;43;28;62.58;41.03;6.28;3.96;0.08;1.8;2;1;3.95;;;;29;13;38.86;22.39;6.28;0.36;0.08;1.39
PSY;2021;350000162;CHIRC SITE REDON;350000048;TOT;1;;;0;25;3;2;;;;10950;12;;;366;7173;751;496;;;;;1383;;;;1;2;2;12723;710;2903;;;;;1876;1379;288;;3;2;4.78;;;;;;43;28;62.58;41.03;6.28;3.96;0.08;1.8;2;1;3.95;;;;29;13;38.86;22.39;6.28;0.36;0.08;1.39
PSY;2021;350000337;C.H. GUILLAUME REGNIER RENNES;350000246;GEN;;9;;;568;49;3;;;;200995;244;12;10;5732;178934;8686;909;;;;;21412;0;0;;14;68;14;105854;32830;19059;25802;8420;10080;2;19950;15757;3646;98;43;15;51.5;3;8;5.35;;;804;172;997.65;607.25;199.21;35.5;11.98;30.84;1;22;14.83;1;8;3.92;463;92;581.72;346.86;179.09;1.79;0;1.16
PSY;2021;350000337;C.H. GUILLAUME REGNIER RENNES;350000246;INF;;3;;;46;4;;;;;15266;153;4;;1323;6969;0;;;;;;14759;0;;;23;31;13;48826;13394;2398;927;86;2264;218;5929;4388;370;;24;14;30.17;0;1;0.2;;;207;83;277.53;136.98;24.26;42.69;26.68;17.79;0;6;3.21;0;1;0.2;38;13;54.27;33.43;12.44;2.18;0.2;0
PSY;2021;350000337;C.H. GUILLAUME REGNIER RENNES;350000246;PEN;;;;;40;;;;;;14600;20;;;309;10840;;;;;;;1704;;;;;;2;;;475;39218;;;;1439;1183;230;2;3;4;6.37;1;0;0.6;;;74;15;93.01;55.3;18.35;6.51;1;1;0;7;2.4;0;1;0.6;60;11;74.53;45.33;18.35;1;1;1
PSY;2021;350000337;C.H. GUILLAUME REGNIER RENNES;350000246;TOT;1;;10;1;654;53;3;;;;230861;417;16;10;7364;196743;8686;909;;;;;37875;0;0;;37;99;29;154680;46224;21932;65947;8506;12344;220;26794;21605;4208;100;70;33;88.04;3;9;6.15;;;1085;270;1368.19;799.53;241.82;84.7;39.66;49.63;1;35;20.44;1;9;4.72;561;116;710.52;425.62;209.88;4.97;1.2;2.16
PSY;2021;350002119;CLINIQUE DU MOULIN;350000386;GEN;;;;;85;;;;;;31025;12;;;468;28435;;;;;;;5205;;;;;;;;;;;;;;450;;371;69;;4;;;1;0.6;0;0;48;22;60.6;23;9;2.3;2.3;2.15;;4;;;1;0.6;;;;18;0;1;0.8;0.4
PSY;2021;350002119;CLINIQUE DU MOULIN;350000386;TOT;0;;;0;85;;;;;;31025;12;;;468;28435;;;;;;;5205;;;;;;;;;;;;;;450;;371;69;;4;;;1;0.6;;;48;22;60.6;23;9;2.3;2.3;2.15;;4;;;1;0.6;;;;18;0;1;0.8;0.4
PSY;2021;350002176;CLINIQUE DE L'ESPERANCE;350000402;GEN;;;;;82;;;;;;29930;18;;;793;25733;;;;;;;3352;;;;;;;;;;;;;;659;;599;68;;8;;;3;1.55;0;0;19;54;36.6;20.32;11.74;1.78;0.91;1.85;;7;;;3;1.55;17;49;32.31;17.82;11.74;0.9;0;1.85
PSY;2021;350002176;CLINIQUE DE L'ESPERANCE;350000402;TOT;0;;;0;82;;;;;;29930;18;;;793;25733;;;;;;;3352;;;;;;;;;;;;;;659;;599;68;;8;;;3;1.55;;;19;54;36.6;20.32;11.74;1.78;0.91;1.85;;7;;;3;1.55;17;49;32.31;17.82;11.74;0.9;0;1.85
PSY;2021;350002234;CLINIQUE FSEF RENNES BEAULIEU;750720575;GEN;;;;;10;;;;;;2360;10;;;125;1692;;;;;;;983;;;;;;;;;;;;;;50;;23;;1;1;1.01;;;;0;0;5;6;8.96;6.48;;1.79;;0.09;;;;;;;;;;;;;;
PSY;2021;350002234;CLINIQUE FSEF RENNES BEAULIEU;750720575;TOT;0;;;0;10;;;;;;2360;10;;;125;1692;;;;;;;983;;;;;;;;;;;;;;50;;23;;1;1;1.01;;;;;;5;6;8.96;6.48;;1.79;;0.09;;;;;;;;;;;;;;
PSY;2021;350002754;CENTRE RÉADAPTATION ESCALE THÉBAUDAIS;440042844;GEN;;1;;;;;;;;;;20;32;1;;;;;;;;;3602;7134;1;;;;1;;;860;;;;;95;;;;;3;1;;;;0;0;6;12;14.4;;;;;;;;;;;;;;;;;;;
PSY;2021;350002754;CENTRE RÉADAPTATION ESCALE THÉBAUDAIS;440042844;TOT;1;;0;0;;;;;;;;20;32;1;;;;;;;;;3602;7134;1;;;;1;;;860;;;;;95;;;;;3;1;;;;;;6;12;14.4;;;;;;;;;;;;;;;;;;;
PSY;2021;350039574;HOPITAL DE JOUR LA MAISON BLEUE;350023495;INF;;;;;;;;;;;;12;;;;;;;;;;;1083;;;;;1;;;1169;;;;;;65;29;;;;1;0.6;;;;0;0;2;9;7.05;2;0;1.75;1.7;1.6;;;;;;;;;;;;;;
PSY;2021;350039574;HOPITAL DE JOUR LA MAISON BLEUE;350023495;TOT;0;;;0;;;;;;;;12;;;;;;;;;;;1083;;;;;1;;;1169;;;;;;65;29;;;;1;0.6;;;;;;2;9;7.05;2;0;1.75;1.7;1.6;;;;;;;;;;;;;;
