BOR;AN;FI;RS;GRP;FI_ET;RS_ET;FI_EJ
STB;2021;290019777;POLYCLINIQUE DE KERAUDREN;09;;;290022508
STB;2021;290023431;SAS CLINIQUE DE LA BAIE;09;;;290001049
STB;2021;290024462;RESIDENCE KERFILY EPSM FINISTERE SUD;04;;;290000298
STB;2021;290025113;LONG SEJOUR TY CREAC'H - CHIC QUIMPER;04;;;290020700
STB;2021;290025147;LONG SEJOUR TY GLAZIK - CHIC QUIMPER;04;;;290020700
STB;2021;290029982;SMUR SITE CH DOUARNENEZ - CHIC;04;;;290020700
STB;2021;290032838;HAD DES PAYS DE MORLAIX;09;;;350000626
STB;2021;290034610;GHBS - HOPITAL BOIS JOLY;04;;;560005746
STB;2021;290036375;HAD DU PONANT SITE CLINIQUE GD LARGE;09;;;290000447
STB;2021;290036466;POLE READAPT DE CORNOUAILLE CONCARNEAU;09;;;440042844
STB;2021;290036474;POLE RÉADAPT DE CORNOUAILLE QUIMPER;09;;;440042844
STB;2021;290036706;INSTITUT DE RÉADAPTATION DU CAP HORN;09;;;440055911
STB;2021;290037548;MAISON SAINT JOSEPH;09;;;220020739
STB;2021;2A0000022;CH ND LA MISERICORDE;04;;;2A0000014
STB;2021;2A0000030;CRF ET MAISON DE REPOS DU FINOSELLO;09;;;2A0000048
STB;2021;2A0000139;CLINISUD;09;;;2A0000063
STB;2021;2A0000154;CLINIQUE DU SUD DE LA CORSE;09;;;2A0000204
STB;2021;2A0000212;HOPITAL LOCAL DE BONIFACIO;04;2A0023289;USLD DE BONIFACIO;2A0000170
STB;2021;2A0000261;CENTRE REPOS CONVALESCENCE;09;;;2A0000279
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0003083;CENTRE MEDICO PSYCHOLOGIQUE;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004164;CMP DE PROPRIANO;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004511;CMP SUD ADULTES;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004529;CATTP SUD ADULTES;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004537;CMP NORD ADULTES;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004545;CATTP NORD SOGN'ARTE ADULTES;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004552;HDJ ADULTES - A LECCIA;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004560;HDJ ADULTES - AMANDULI;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004578;CATTP ADULTES - PROPRIANO;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004586;CMP ADULTES -SARTENE;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004594;CATTP ADULTES-SARTENE;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004602;CATTP ADULTES PORTO VECCHIO;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004610;HDJ ADULTES-PORTO VECCHIO;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004628;CMP ADULTES-SAGONE;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004636;CATTP ADULTES -SAGONE;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004644;CATTP ENFANTS-A PAMPANA;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004651;HDJ ENFANTS-A PAMANA;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004669;CMP ENFANTS-I TESORI;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004677;CMP ENFANTS-A RUNDINELLA;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004685;CATTP ENFANTS-A RUNDINELLA;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004693;CMP ENFANTS-CISA U LARICCIU;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004701;CATTP ENFANTS-CISA ATELIERS THERA;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004719;CMP ENFANTS-L'ACULA MARINA;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004727;CATTP ENFANTS-L ACULA MARINA;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004735;CMP ENFANTS-L ORIZONTI;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004743;CATTP ENFANTS-L ORIZONTI;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004750;HDN-A PASSEGHJATA;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0004768;CATTP-C2R2;2A0000386
STB;2021;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;04;2A0022653;DISPENSAIRE HYGIENE MENTALE;2A0000386
STB;2021;2A0001988;HAD AJACCIO ET GRAND AJACCIO;09;;;2A0001848
STB;2021;2A0002051;CRF LES MOLINI;09;;;2A0000303
STB;2021;2A0002614;CENTRE HOSPITALIER DE SARTENE;04;2A0002622;USLD DE SARTENE;2A0002606
STB;2021;2A0003125;ANTENNE DU SMUR SARTENE;04;;;2A0000014
STB;2021;2A0003133;ANTENNE DU SMUR PORTO VECCHIO;04;;;2A0000014
STB;2021;2A0003141;ANTENNE DU SMUR BONIFACIO;04;;;2A0000014
STB;2021;2A0022554;MAIS CONVAL ET REGIME VALICELLI;09;;;2A0000311
STB;2021;2A0023271;USLD D' AJACCIO;04;;;2A0000014
STB;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;04;2B0003131;CMP DE GHISONACCIA;2B0000020
STB;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;04;2B0003214;CMP D ILE ROUSSE;2B0000020
STB;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;04;2B0003446;HOPITAL DE JOUR DE PEDO PSY;2B0000020
STB;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;04;2B0004196;CMP DE CORTE;2B0000020
STB;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;04;2B0004485;CENTRE PSYCHO THERAPIQUE;2B0000020
STB;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;04;2B0004501;CMP DE BASTIA SUD;2B0000020
STB;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;04;2B0006068;CMP ONDINA;2B0000020
STB;2021;2B0000038;CH CORTE;04;2B0005722;USLD DE CORTE;2B0004246
STB;2021;2B0000079;CLINIQUE DR FILIPPI;09;;;2B0000046
STB;2021;2B0000145;POLYCLINIQUE LA RESIDENCE MAYMARD;09;;;2B0000053
STB;2021;2B0000392;POLYCLINIQUE DE FURIANI;09;;;2B0000129
STB;2021;2B0000400;MAISON DE CONVALES LA PALMOLA;09;;;2B0000137
STB;2021;2B0001739;HAD DE CORSE;09;;;2B0001689
STB;2021;2B0003016;CLINIQUE DU CAP;15;;;2B0003990
STB;2021;2B0003289;HAD CENTRE RAOUL FRANCOIS MAYMARD;09;;;2B0003198
STB;2021;2B0003420;ANTENNE SMUR DE CALVI;04;;;2B0000020
STB;2021;2B0003917;CENTRE JOUR VILLA SAN ORNELLO;15;;;2B0003891
STB;2021;2B0004089;USLD CENTRE HOSPITALIER BASTIA;04;;;2B0000020
STB;2021;2B0004113;CLINIQUE SAN ORNELLO;15;;;2B0000467
STB;2021;2B0004907;ANTENNE SMUR DE CORTE;04;;;2B0000020
STB;2021;2B0005359;CH CALVI;04;2B0005557;USLD - CH CALVI;2B0005342
STB;2021;2B0005409;ANTENNE SMUR GHISONACCIA;04;;;2B0000020
STB;2021;2B0005664;CLINIQUE DE TOGA;09;;;2B0005656
STB;2021;300000023;CH ALES CEVENNES;04;300006939;HJ PIJ LA ROSE VERTE ALES;300780046
STB;2021;300000023;CH ALES CEVENNES;04;300016946;CMP ADULTE HTP LA GRAND COMBE;300780046
STB;2021;300000023;CH ALES CEVENNES;04;300016953;CMP ADULTE HTP ALES;300780046
STB;2021;300000023;CH ALES CEVENNES;04;300016961;CATTP ADULTE HTP ALES;300780046
STB;2021;300000023;CH ALES CEVENNES;04;300016979;CMP ADULTE HTP ST AMBROIX;300780046
STB;2021;300000023;CH ALES CEVENNES;04;300016987;CMPEA HTP NORD OUEST ALES;300780046
STB;2021;300000023;CH ALES CEVENNES;04;300016995;CMPEA HTP ALES;300780046
STB;2021;300000023;CH ALES CEVENNES;04;300782364;UNITE SOINS NORMALISES PSY GEN CHAC;300780046
STB;2021;300000023;CH ALES CEVENNES;04;300784741;HJ PIJ LA MAISON LUNE LE VIGAN;300780046
STB;2021;300000023;CH ALES CEVENNES;04;300786779;CMPEA HTP ST AMBROIX LES MAGES;300780046
STB;2021;300000031;CH LOUIS PASTEUR;04;300783438;USLD CH BAGNOLS;300780053
STB;2021;300000049;CH BEAUCAIRE;04;;;130028228
STB;2021;300000056;CH PONT ST ESPRIT;04;;;300780079
STB;2021;300000064;CH UZES;04;300786548;USLD CH UZES;300780087
STB;2021;300000072;CH LE VIGAN;04;300785151;USLD CH LE VIGAN;300780095
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300012572;UNITE HOSPITALISATION COMPLETE CH UZES;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300014453;HJ PSY ADULTES ZARIFIAN;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300014461;HJ PSY ADULTES TOSQUELLES;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300014479;HJ PSY INFANTO JUV GAMBETTA;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300014487;HJ PSY INFANTO JUV LA MONTAGNETTE;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300014495;HJ PSY INFANTO JUV CHEVREFEUILLES;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300014503;HJ PSY ADULTES TONY LAINE;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300016854;CMP ADULTES LE VIGAN;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300016862;CMP ADULTES ANDUZE;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300016870;CMP ADULTES ST HIPPOLYTE DU FORT;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300016888;CMP ADULTES BAGNOLS SUR CEZE;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300016896;CMP ADULTES UZES;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300016904;CMP ADULTES BEAUCAIRE;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300016912;CMP ADULTES REMOULINS;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300017068;CATTP LE TRANSFO;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300017076;CMPEA BAGNOLS SUR CEZE;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300017084;CMPEA BEAUCAIRE;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300017092;HJ PSY ADULTES ST HIPPOLYTE DU FORT;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;300017100;CMPEA UZES;300780103
STB;2021;300000080;HOSPIT COMPLETE CH LE MAS CAREIRON;14;340787076;CMP ADULTES GANGES;300780103
STB;2021;300000387;AEMC;05;300780764;CENTRE LE PEYRON;300000387
STB;2021;300000387;AEMC;05;300786787;CMPEA DU VIGAN;300000387
STB;2021;300000478;CH LES CHATAIGNIERS;04;;;300781010
STB;2021;300000759;CIGALIERES;05;300002896;HJ PIJ LA CALADE NIMES EST;300000759
STB;2021;300000759;CIGALIERES;05;300786753;CMPEA LE BOSQUET;300000759
STB;2021;300002128;CHATEAU DE COULORGUES;09;;;300000247
STB;2021;300002169;SSR GERIATRIQUE LES CADIERES;09;;;780020715
STB;2021;300002508;CL DU GRAND AVIGNON;09;;;300000213
STB;2021;300012309;ADENE HAD NIMES;09;;;340027937
STB;2021;300012358;CENTRE MEDICAL DE L'EGREGORE UGECAM;09;;;340015171
STB;2021;300012481;USLD LES CIGALES CH ALES;04;;;300780046
STB;2021;300012499;USLD LA ROSE DES VENTS CH ALES;04;;;300780046
STB;2021;300012598;GCS NEUROCHIRURGIE DU GARD;09;;;300012580
STB;2021;300013745;ADENE HAD ALES;09;;;340027937
STB;2021;300013778;HAD 3G SANTE NIMES;09;;;300013760
STB;2021;300014040;GCS CTRE REEDUC GARD RHODANIEN;09;;;300014024
STB;2021;300017209;KENVAL ICG;09;;;300000726
STB;2021;300017423;CENTRE MEDICAL DE L'EGREGORE AUDAVIE;09;;;380804542
STB;2021;300017498;CL AMBULATOIRE DE LA CEZE;09;;;300000155
STB;2021;300780111;SSR FILIERIS LA POMAREDE;09;;;750050759
STB;2021;300780137;NOUVELLE CL BONNEFON;09;;;920028396
STB;2021;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;09;;;300017985
STB;2021;300780210;CL BELLE RIVE;15;;;300000148
STB;2021;300780244;CL DU PONT DU GARD;15;;;920030269
STB;2021;300780251;CL NEURO PSYCHIATRIQUE QUISSAC;15;;;300000189
STB;2021;300780269;CL LES SOPHORAS;15;;;300000197
STB;2021;300780285;CL VALDEGOUR;09;;;300000726
STB;2021;300780384;CENTRE PROTECTION INFANTILE MONTAURY;15;;;750721334
STB;2021;300780442;CSSR LES CHATAIGNIERS;09;;;300017464
STB;2021;300780491;CL LES OLIVIERS;09;;;340016963
STB;2021;300781424;CL LA CAMARGUE MONT DUPLAN;15;;;300000692
STB;2021;300781440;CSSR DOMAINE DU CROS;09;;;300000700
STB;2021;300781465;POLYCL KENNEDY;09;;;300000726
STB;2021;300782117;CHU NIMES CAREMEAU;04;300016680;HJ PSY INF JUV CMPEA OUEST MONTAURY;300780038
STB;2021;300782117;CHU NIMES CAREMEAU;04;300016698;HJ PSY INF JUV CMPEA VAUVERT;300780038
STB;2021;300782117;CHU NIMES CAREMEAU;04;300017910;HJ PSY ADULTES BOURDALOUE;300780038
STB;2021;300782117;CHU NIMES CAREMEAU;04;300018215;CMP PSY ADULTE HOCHE;300780038
STB;2021;300782117;CHU NIMES CAREMEAU;04;300018223;CMP PSY ADULTE TILLEULS;300780038
STB;2021;300782117;CHU NIMES CAREMEAU;04;300782166;HJ PSY INF JUV CMPEA EST PELLECUER;300780038
STB;2021;300782125;CENTRE DE SOINS PA SERRE CAVALIER;04;300785037;USLD SERRE CAVALIER CHU NIMES;300780038
STB;2021;300782141;CENTRE MEDICAL GRAU DU ROI CHU NIMES;04;;;300780038
STB;2021;300786274;INSTITUT REINSERTION AVEUGLES ARAMAV;09;;;300786266
STB;2021;300788502;POLYCL GRAND SUD;09;;;300017985
STB;2021;310000013;HOPITAUX LUCHON CTRE CONVAL GERONTO;04;;;310180013
STB;2021;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;04;310792056;USLD CH COMMINGES PYRENEES PLANCARD;310780671
STB;2021;310000336;CH REVEL;04;310792080;USLD CH REVEL;310780713
STB;2021;310000369;CH GERARD MARCHANT;14;310003132;CMP /CATTP ADULTES MARENGO CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310012919;APPT THERAPEUTIQUE LIMAGNE CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310012968;APPART THERAPEU PRINTEMPS CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310013008;APPART THERAPEU JOFFRE CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310013099;HJ PSY ADULTE CONDEAU CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310013149;HJ PSY ADULTE PORT SAUVEUR CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310013198;HJ PSY ADULTE ST SERNIN CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310013289;HJ PSY ADULTE DES ARENES CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310014949;HJ PSY GENERALE MURET CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310015078;HJ PIJ PALOUMERE CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310016621;APPART THERAPEU RIMONT CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310018643;UNITE DE CRISE ET HOSPIT PIJ;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310020631;HJ PIJ SEYSSES CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310021613;CMP CATTP ADULTES MURET;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310021639;CMP CATTP ADULTES VILLA ALBERT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310021670;CMP ADULTES PONT MINIMES CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310021712;CMP/CATTP ADULTES PORT SAINT SAUVEUR;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310021720;CMP /CATTP ADULTES ST MICHEL;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310021753;CMP CATTP ADULTES COLOMIERS;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310025218;CMP CATTP ADULTE CARBONNE CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310025226;CMP CATTP ADULTES NAILLOUX;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310025234;CMP ADULTES S2 ARENES;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310025242;CMP/CATTP PIJ TOURNEFEUILLE;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310026547;CMP CATTP PIJ CARBONNE CHS MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310027594;HJ PSY GENERALE CARBONNE CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310030754;CMP CATTP ADULTE BESSIERES CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310031646;HJ PIJ BOURRELLY CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310032909;SUIVI AMBULATOIRE SMPR SEYSSES;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310032917;CMP CATTP ST SERNIN CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310788757;HJ PIJ VOLVESTRE CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310788781;HJ PSY ADULTE LALANNE CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310788922;HJ PIJ CUGNAUX CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310792098;HJ SMPR SEYSSES;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310794540;HJ PSY ADULTES NEGRENEYS CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310794573;CPC AUZEVILLE TOLOSANE CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310794581;CTRE POST CURE RUE MAIGNAN CH MARCHANT;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310796859;CMP CATTP ADULTES S6 ARENES;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310796891;CMP PIJ LEGUEVIN;310780754
STB;2021;310000369;CH GERARD MARCHANT;14;310796917;CMP PIJ AUTERIVE CH MARCHANT;310780754
STB;2021;310005459;HAD SANTE RELAIS DOMICILE;09;;;310021886
STB;2021;310013628;CH MURET;04;310001383;USLD CH MURET;310786256
STB;2021;310014329;SSR DEF VISUELS BASSE VISION A MATHIS;09;;;310781562
STB;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;04;;;310781406
STB;2021;310018650;SECTORISATION PSY NEBOUZAN ASEI;15;;;310781562
STB;2021;310019351;HOPITAL LARREY CHU TLSE;04;;;310781406
STB;2021;310020938;CL KORIAN VAL DE SAUNE;09;;;750056335
STB;2021;310021571;CENTRE GERIATRIQUE DES MINIMES;09;310025093;USLD CENTRE GERIATRIQUE DES MINIMES;310021563
STB;2021;310022298;HOPITAL GARONNE CHU TOULOUSE;04;310790332;USLD HOPITAL GARONNE CHU TOULOUSE;310781406
STB;2021;310022330;GCS DIALYSE DU COMMINGES ST GAUDENS;09;;;310022322
STB;2021;310023007;CL LA RECOUVRANCE;09;;;810005678
STB;2021;310025333;ONCOPOLE CHU TOULOUSE;04;;;310781406
STB;2021;310026083;CL RIVE GAUCHE;09;;;310026075
STB;2021;310026927;CL CAPIO LA CROIX DU SUD;09;;;310026794
STB;2021;310780119;CL DE MONTBERON;15;;;310000047
STB;2021;310780143;CL DU CHATEAU DE SEYSSES;15;;;920030269
STB;2021;310780150;CL MEDIPOLE GARONNE;09;;;310788799
STB;2021;310780234;CL DU CABIROL;09;;;920030871
STB;2021;310780259;CL PASTEUR;09;;;310000096
STB;2021;310780283;CL DE L'UNION;09;;;310000112
STB;2021;310780358;MAISON DE SANTE DE MAILHOL;15;;;310000146
STB;2021;310780366;CL MONIE;09;;;310000153
STB;2021;310780374;CL DU CHATEAU DE VERNHES;09;;;310000161
STB;2021;310780382;CL AMBROISE PARE;09;;;310000179
STB;2021;310780390;CL DE BEAUPUY;15;;;310000187
STB;2021;310780481;MECS CASTELNOUVEL;09;;;340015171
STB;2021;310781000;CL DES CEDRES;09;;;310788880
STB;2021;310781067;HOPITAL JOSEPH DUCUING;09;;;310788898
STB;2021;310781125;CL ST ROCH;09;;;310000419
STB;2021;310781133;CLINIQUE D'AUFRERY;15;;;310000427
STB;2021;310781141;CL DU VIEUX CHATEAU D'OC;15;;;310000435
STB;2021;310781158;CL MARIGNY;15;;;920031762
STB;2021;310781174;KORIAN MONTVERT;09;;;750056335
STB;2021;310781422;CENTRE PAUL DOTTIN;09;;;310781562
STB;2021;310781430;CENTRE POSTCURE ROUTE NOUVELLE;15;;;310788906
STB;2021;310781505;CL D'OCCITANIE;09;;;310000492
STB;2021;310781695;POLYCL DE LA LEZE;09;;;920030269
STB;2021;310781984;CL DE VERDAICH;09;;;310014378
STB;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;09;;;310000617
STB;2021;310782339;CRF LA FONTAINE SALEE CHU TOULOUSE;04;;;310781406
STB;2021;310782396;CL SSR KORIAN ESTELA;09;;;750056335
STB;2021;310782446;ARSEAA;05;310011358;CMP PIJ CASTANET PGI ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310017082;CMP PIJ ST ORENS PIG ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310018676;SECTORISATION PIJ PGI ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310031059;HJ PIJ CMP CATTP MAGELLAN BALMA PGI;310782446
STB;2021;310782446;ARSEAA;05;310780895;HJ PIJ LES AUTANS PGI ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310780911;CMP PIJ LAFAOURETTE PGI ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310781513;HJ PIJ ST LEON PGI ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310781711;CMP LA REYNERIE PIJ PGI ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310783030;HJ PIJ LES BOURDETTES PGI ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310785233;CMP CATTP PIJ LOU CAMINEL PGI ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310789235;CMP PIJ VILLEFRAN LAURAGAIS PGI ARSEAA;310782446
STB;2021;310782446;ARSEAA;05;310789268;CMP CATTP PIJ ST LEON PGI;310782446
STB;2021;310782446;ARSEAA;05;310791967;CMP CATTP PIJ REVEL PGI ARSEAA;310782446
STB;2021;310783048;HOPITAL PURPAN CHU TLSE;04;;;310781406
STB;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;04;;;310781406
STB;2021;310783063;HOPITAL LA GRAVE CHU TLSE;04;310014899;HJ PIJ PETITS 3 A 8 ANS GRAVE CHU TLSE;310781406
STB;2021;310783063;HOPITAL LA GRAVE CHU TLSE;04;310019617;HJ BORIS VIAN DES 8 A 12 ANS;310781406
STB;2021;310783063;HOPITAL LA GRAVE CHU TLSE;04;310019625;HJ PIJ ADOS APJA PURPAN CHU TLSE;310781406
STB;2021;310783063;HOPITAL LA GRAVE CHU TLSE;04;310025077;HOPITAL DE PSYCHIATRIE;310781406
STB;2021;310783063;HOPITAL LA GRAVE CHU TLSE;04;310025267;CMP PIJ COLOMIERS CHU TOULOUSE;310781406
STB;2021;310783063;HOPITAL LA GRAVE CHU TLSE;04;310025275;CMP CATTP PIJ FRONTON CHU TOULOUSE;310781406
STB;2021;310783063;HOPITAL LA GRAVE CHU TLSE;04;310025283;CMP PIJ BLAGNAC CHU TOULOUSE;310781406
STB;2021;310783063;HOPITAL LA GRAVE CHU TLSE;04;310025309;CMP PIJ PURPAN CHU TLSE;310781406
STB;2021;310783063;HOPITAL LA GRAVE CHU TLSE;04;310787304;CL ADOLESCENCE VILLA CHU TLSE;310781406
STB;2021;310783097;CENTRE DE SANTE MENTALE MGEN TOULOUSE;15;;;750005068
STB;2021;310784558;HOPITAUX LUCHON CTRE REEDUC FONCTION;04;;;310180013
STB;2021;310784830;CRF LES GRANDS CEDRES;09;;;310788880
STB;2021;310786389;CL DES PYRENEES;09;;;310001433
STB;2021;310786702;SSR DOMAINE DE LA CADENE;09;310018049;USLD LA CADENE;750043713
STB;2021;310787965;CENTRE DE REEDUCATION DU MIRAIL;09;;;310788898
STB;2021;310790472;CL ST ORENS ST ORENS GAMEVILLE;09;;;310790464
STB;2021;310792635;SSR LE MARQUISAT;09;;;310002191
STB;2021;310792874;POUPONNIERE ANDRE BOUSQUAIROL;09;;;310788997
STB;2021;310794094;USLD LES JARDINS DES SILOS;04;;;310780754
STB;2021;310795463;CENTRE DE POST CURE APRES;15;;;310785068
STB;2021;320000086;CH AUCH EN GASCOGNE;04;320784069;USLD LA RIBERE CH AUCH;320780117
STB;2021;320000094;CH GERS;14;320001084;CMP ADULTES PIJ MIRANDE;320780125
STB;2021;320000094;CH GERS;14;320782386;CMP PIJ AUCH;320780125
STB;2021;320000094;CH GERS;14;320782428;CMP PIJ L'ISLE JOURDAIN;320780125
STB;2021;320000094;CH GERS;14;320782436;CMP CATTP ADULTES SAMATAN;320780125
STB;2021;320000094;CH GERS;14;320782444;CMP CATTP ADULTES VIC FEZENSAC;320780125
STB;2021;320000094;CH GERS;14;320782469;CMP CATTP ADULTES L'ISLE JOURDAIN;320780125
STB;2021;320000094;CH GERS;14;320782501;CMP CATTP ADULTE NOGARO;320780125
