BOR;AN;FI;RS;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2021;270000359;CH EVREUX CH EURE-SEINE;270023724;SITOT;12;4380;655;;;3905;;;;;;;;;;;;;;;;;;;;;
REA;2021;270000359;CH EVREUX CH EURE-SEINE;270023724;SURVADU;0;882;209;;;553;;;;0;4;1.3;;;0.28;;;6.77;;;5.5;;;;;;1.65
REA;2021;270000359;CH EVREUX CH EURE-SEINE;270023724;USIC;8;2920;455;;;2626;;;;;2;0.5;;1;0.5;1;23;12.91;;17;6.68;;;;1;;1.08
REA;2021;270000458;CH VERNON CH EURE-SEINE;270023724;REAADU;0;0;4;4;0;24;0;37;0;;;;;;;;;;;;;;;;;;
REA;2021;270000458;CH VERNON CH EURE-SEINE;270023724;SURVADU;4;1100;285;;;820;;;;;2;0.47;;1;0.3;5;1;5.8;5;2;6;;;;;2;0.5
REA;2021;270000862;CLINIQUE BERGOUIGNAN;270000953;SITOT;6;2190;634;;;2172;;;;;;;;;;;;;;;;;;;;;
REA;2021;270000862;CLINIQUE BERGOUIGNAN;270000953;USIC;6;2190;634;;;2172;;;;;;1;;;;8;;5.44;;7;5.44;;1;0.1;;;
REA;2021;280000084;CH DREUX;280000183;REAADU;8;2920;342;389;6;3597;11;46;29;;7;3.91;2;;1.94;23;3;24.23;12;;12.64;;;;2;2;2.75
REA;2021;280000084;CH DREUX;280000183;SITOT;10;3650;745;;;2786;;;;;;;;;;;;;;;;;;;;;
REA;2021;280000084;CH DREUX;280000183;SIUNV;4;1460;245;;;994;;;;3;3;0.87;;;0.05;4;;3.52;2;;1.93;;;;0;1;0.83
REA;2021;280000084;CH DREUX;280000183;SURVADU;4;1460;169;;;602;;;;;7;0.69;;;;;1;1.68;3;;2.97;;;;;;
REA;2021;280000084;CH DREUX;280000183;USIC;6;2190;500;;;1792;;;;7;2;2.74;;1;0.09;7;;6.54;3;1;3.59;;;;2;;1.54
REA;2021;280000449;PÔLE MÉDICAL MAISON BLANCHE;920030269;SURVADU;8;2920;2;;;17;;;;;;;;;;;;;;;;;;;;;
REA;2021;280000662;CH CHATEAUDUN;280500075;SURVADU;4;1460;495;;;947;;;;1;1;1.8;;;;1;1;1.4;3;1;3.45;;;;0;1;0.3
REA;2021;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;REAADU;12;6552;450;539;44;4884;13;35;56;4;2;4.78;1;;0.86;29;3;29.66;17;1;18.13;6;;0.14;5;1;5.32
REA;2021;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;SITOT;12;4380;1049;;;3456;;;;;;;;;;;;;;;;;;;;;
REA;2021;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;SIUNV;4;1460;351;;;1240;;;;4;3;2.27;;;;5;;4.9;6;;6.99;6;;0.76;2;;2.16
REA;2021;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;SURVADU;12;5072;772;;;2600;;;;5;2;1.56;;;;7;;7.22;5;1;6.42;6;;0.14;3;1;3.58
REA;2021;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;SURVENF;4;1460;637;;;1716;;;;8;6;1.72;;;;4;3;5.35;5;2;4.91;;;;2;1;1.56
REA;2021;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;USIC;8;2920;698;;;2216;;;;15;0;1.4;;;;6;1;8.04;7;2;8.68;;;0.02;1;1;1.72
REA;2021;280505777;HOPITAL PRIVE D'EURE ET LOIR;280001199;SURVADU;10;3650;698;;;4204;;;;3;;0.75;;1;0.25;6;1;7.25;4;;5.44;;;;;;
REA;2021;290000025;CHIC QUIMPER;290020700;REAADU;12;4380;531;559;39;4812;5;40;39;;7;6.15;1;0;1;26;10;38.36;24;1;25.27;0;0;0;2;0;1.98
REA;2021;290000025;CHIC QUIMPER;290020700;SITOT;14;5109;1395;;;5138;;;;;;;;;;;;;;;;;;;;;
REA;2021;290000025;CHIC QUIMPER;290020700;SIUNV;6;2190;537;;;2447;;;;;6;1.7;;1;0.02;;19;7.49;;18;3.74;;;;;8;1.05
REA;2021;290000025;CHIC QUIMPER;290020700;SURVADU;3;1095;219;;;441;;;;;7;0.85;1;;0.08;26;10;3.22;24;1;2.12;;;;2;;0.17
REA;2021;290000025;CHIC QUIMPER;290020700;USIC;8;2919;858;;;2691;;;;;6;3;;1;0.56;;29;9.31;;30;10.24;;;;;2;0.86
REA;2021;290000033;C.H. DES PAYS DE MORLAIX;290021542;REAADU;8;3026;445;453;19;3163;14;38;75;9;;4.9;;1;0.3;21;9;25.9;11;6;15.3;1;;1;1;2;1.94
REA;2021;290000033;C.H. DES PAYS DE MORLAIX;290021542;SURVADU;8;2748;677;;;2654;;;;1;1;1.28;;;0.34;1;;1;3;1;3.82;;;;;;
REA;2021;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;AUTSI;14;5110;231;;;4561;;;;;;;0;;0.08;16;5;20.17;11;5;15.88;;;;1;1;1.07
REA;2021;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;REAENF;3;1095;158;160;9;700;12;;;1;;1.42;;;;;;;;;;;;;;;
REA;2021;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;SITOT;14;5110;231;;;4561;;;;;;;;;;;;;;;;;;;;;
REA;2021;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;SURVENF;7;2555;739;;;1992;;;;4;;1.42;;;;;;;;;;;;;;;
REA;2021;290000140;CLINIQUE PASTEUR LANROZE;290000447;SURVADU;6;2190;561;;;367;;;;8;;4;1;;0.35;14;8;5;11;1;5;3;;0.4;;;
REA;2021;290000181;CENTRE HOSPITALIER DOUARNENEZ;290000074;SURVADU;6;2190;447;;;1856;;;;0;4;1.2;0;0;0;2;1;2.69;0;3;2.42;0;0;0;0;1;0.2
REA;2021;290000207;CLINIQUE ST MICHEL ET STE ANNE;290029974;SURVADU;6;2190;236;;;917;;;;;11;5.5;1;;0.1;12;;4.2;19;;4.1;;;;;;
REA;2021;290000215;POLYCLINIQUE QUIMPER SUD;290029974;SURVADU;10;3650;590;;;2307;;;;;11;5.5;;;;6;4;8.66;4;1;4.81;;;;;;
REA;2021;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;SURVADU;4;1460;304;;;905;;;;;;;;1;0.25;4;1;5.78;5;3;6.62;;;;;4;0.6
REA;2021;290000728;HOPITAL INSTRUCTION DES ARMEES;750821092;REAADU;10;3580;350;365;11;1822;37;34;77;2;10;5.5;;;;28;;22.4;14;1;14.96;;7;0.07;13;;5.2
REA;2021;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;SURVADU;6;2190;411;;;1756;;;;;2;1.2;1;;0.33;6;;5.53;5;;4.33;;;;;;
REA;2021;290004142;CLINIQUE DU GRAND LARGE;290022508;SURVADU;12;4380;735;;;3087;;;;;4;1.25;;;;8;3;11.49;6;;7.49;;16;1.1;;;
REA;2021;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;AUTSI;8;2709;744;;;3825;;;;;;;;1;0.8;8;7;13.52;6;9;12.75;;;;2;2;2.71
REA;2021;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;REAADU;36;13910;2230;2378;91;11418;13;32;148;21;;16.56;2;1;2.92;51;34;81.06;38;20;54.25;;;;11;2;12.12
REA;2021;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;SITOT;31;11104;3633;;;11975;;;;;;;;;;;;;;;;;;;;;
REA;2021;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;SIUNV;8;2920;780;;;2939;;;;5;;0.95;;;;8;2;9.85;8;;8.14;;;;;2;1.41
REA;2021;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;SURVADU;24;8126;1221;;;7087;;;;;;;;;;13;2;13.07;3;1;3.45;;;;;;
REA;2021;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;USIC;15;5475;2109;;;5211;;;;1;;0.15;;1;0.58;4;18;17.81;8;11;14.78;;;;1;1;2.71
REA;2021;290019777;POLYCLINIQUE DE KERAUDREN;290022508;REAADU;0;;1;1;0;3;0;36;1;;;;;;;;;;;;;;;;;;
REA;2021;290019777;POLYCLINIQUE DE KERAUDREN;290022508;SITOT;8;2920;772;;;2813;;;;;;;;;;;;;;;;;;;;;
REA;2021;290019777;POLYCLINIQUE DE KERAUDREN;290022508;SURVADU;8;2920;379;;;2167;;;;;53;9.54;;1;0.3;9;2;9.84;6;1;7.22;;17;1;;1;0.5
REA;2021;290019777;POLYCLINIQUE DE KERAUDREN;290022508;USIC;8;2920;772;;;2813;;;;;20;3.6;1;;1;8;2;9.66;4;3;6.67;;;;;1;0.5
REA;2021;290023431;SAS CLINIQUE DE LA BAIE;290001049;SURVADU;6;2190;379;;;794;;;;3;;1.4;;;;5;;4.8;5;;4.8;;;;1;;0.46
REA;2021;2A0000022;CH ND LA MISERICORDE;2A0000014;REAADU;10;3650;553;571;25;3812;5;40;71;3;9;5.94;;1;0.27;30;5;30.35;23;;20.08;;;;6;;5.37
REA;2021;2A0000022;CH ND LA MISERICORDE;2A0000014;SITOT;11;4015;998;;;2807;;;;;;;;;;;;;;;;;;;;;
REA;2021;2A0000022;CH ND LA MISERICORDE;2A0000014;SIUNV;3;1095;293;;;468;;;;;1;0.2;1;;0.5;10;;4.82;8;;3.85;;;;3;;1.7
REA;2021;2A0000022;CH ND LA MISERICORDE;2A0000014;SURVADU;5;1825;206;;;580;;;;;8;2.45;;1;0.4;7;;7.19;11;1;12.87;;;;4;;4.2
REA;2021;2A0000022;CH ND LA MISERICORDE;2A0000014;USIC;8;2920;705;;;2339;;;;4;;0.92;;;;;19;9.37;;17;8.58;;;;;5;2.68
REA;2021;2A0000139;CLINISUD;2A0000063;SURVADU;8;2920;445;;;2176;;;;6;;6;1;;1;4;;4.14;8;;6.52;;;;3;;2.92
REA;2021;2A0000154;CLINIQUE DU SUD DE LA CORSE;2A0000204;AUTSI;4;1460;159;;;837;;;;0;2;1;;1;0.3;4;;4;4;;4;;0;;;2;0.3
REA;2021;2A0000154;CLINIQUE DU SUD DE LA CORSE;2A0000204;SITOT;4;1460;159;;;837;;;;;;;;;;;;;;;;;;;;;
REA;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;AUTSI;3;1394;173;;;769;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;REAADU;12;4621;411;433;24;3342;4;44;60;4;6;5.06;1;0;1;35;4;27.89;23;1;14.84;0;0;;0;0;0
REA;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;SITOT;9;3584;1016;;;2445;;;;;;;;;;;;;;;;;;;;;
REA;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;SURVADU;6;1766;308;;;913;;;;3;3;2.23;0;1;0.15;5;1;10.26;3;4;10.95;0;0;0;0;0;0
REA;2021;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;USIC;6;2190;843;;;1676;;;;0;1;0.5;0;1;0.2;0;25;5.38;0;21;4.52;0;0;0;0;0;0
REA;2021;2B0000392;POLYCLINIQUE DE FURIANI;2B0000129;SURVADU;5;1825;116;;;598;;;;2;;2;;;;3;2;3.5;2;0;2;;1;0.5;1;;1
REA;2021;300000023;CH ALES CEVENNES;300780046;REAADU;8;2920;301;309;14;2527;7;37;25;8;1;5.94;1;1;0.91;0;30;20.19;1;19;10.77;0;0;0;1;3;2.47
REA;2021;300000023;CH ALES CEVENNES;300780046;SITOT;6;2190;541;;;1829;;;;;;;;;;;;;;;;;;;;;
REA;2021;300000023;CH ALES CEVENNES;300780046;SURVADU;4;1460;180;;;780;;;;8;1;1.27;0;1;0.25;0;30;6.65;0;18;6.82;0;0;0;0;1;0.32
REA;2021;300000023;CH ALES CEVENNES;300780046;USIC;6;2190;541;;;1829;;;;7;4;1.53;0;2;0.3;0;19;6.48;0;14;4.32;0;0;0;0;10;3.31
REA;2021;300000031;CH LOUIS PASTEUR;300780053;REAADU;2;1083;65;65;10;257;3;34;15;0;;;;;;;;;;;;;;;;;
REA;2021;300000031;CH LOUIS PASTEUR;300780053;SITOT;6;2190;496;;;1435;;;;;;;;;;;;;;;;;;;;;
REA;2021;300000031;CH LOUIS PASTEUR;300780053;SURVADU;4;2053;418;;;1192;;;;2;3;1.65;2;0;1.33;9;6;14.2;6;0;7.13;0;0;0;9;2;8.72
REA;2021;300000031;CH LOUIS PASTEUR;300780053;USIC;6;2190;496;;;1435;;;;2;;0.04;0;0;0;7;4;6.22;4;3;4.72;0;0;0;1;2;1.27
REA;2021;300780137;NOUVELLE CL BONNEFON;920028396;SURVADU;8;2920;288;;;1443;;;;3;2;;;1;0.5;6;;6;4;1;4.75;;;;;;
REA;2021;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;300017985;REAADU;8;2920;403;422;4;2904;13;28;34;9;;9;1;;1;25;;25;12;;12;;1;0.5;2;1;2.5
REA;2021;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;300017985;SITOT;8;2920;957;;;2104;;;;;;;;;;;;;;;;;;;;;
REA;2021;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;300017985;SURVADU;5;1825;818;;;1356;;;;9;;9;1;;1;25;;25;12;;12;;1;0.5;2;1;2.5
REA;2021;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;300017985;USIC;8;2920;957;;;2104;;;;7;;7;1;;1;10;;10;2;;2;;;;3;;3
REA;2021;300781465;POLYCL KENNEDY;300000726;SURVADU;4;1400;64;;;234;;;;0;5;0.4;0;1;0.4;2;1;2.4;2;1;2.4;0;1;0.2;0;0;0
REA;2021;300782117;CHU NIMES CAREMEAU;300780038;AUTSI;14;5110;496;;;5214;;;;;;;;;;10;2;10.33;7;2;8.13;1;;0.87;1;;1.08
REA;2021;300782117;CHU NIMES CAREMEAU;300780038;REAADU;46;16790;2453;2990;111;21904;2;32;238;16;;13.48;3;;1.52;103;16;115.39;63;11;68.91;2;;1.43;22;2;21.82
REA;2021;300782117;CHU NIMES CAREMEAU;300780038;SITOT;38;13870;3504;;;13582;;;;;;;;;;;;;;;;;;;;;
REA;2021;300782117;CHU NIMES CAREMEAU;300780038;SIUNV;12;4380;1001;;;4107;;;;;;;1;;1;14;3;15.72;13;1;13.39;2;;0.76;10;2;6.89
REA;2021;300782117;CHU NIMES CAREMEAU;300780038;SURVADU;48;17520;6306;;;15559;;;;7;;7.5;2;;1.92;46;2;52.83;43;6;50.11;1;;1.09;13;;12.66
REA;2021;300782117;CHU NIMES CAREMEAU;300780038;USIC;12;4380;2007;;;4261;;;;;;;;;;12;1;15.76;9;4;11.4;;;;;1;0.5
REA;2021;300788502;POLYCL GRAND SUD;300017985;SURVADU;8;2920;630;;;1914;;;;1;;0.1;;;;;;;;;;;;;;;
REA;2021;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;REAADU;6;2196;174;176;5;1867;5;30;54;1;2;1.65;1;;1;15;3;15.65;14;1;12.15;;;;;3;0.5
REA;2021;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;SURVADU;3;1095;175;;;734;;;;;1;0.8;;;;;;;;;;;;;;;
REA;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;AUTSI;21;7665;1431;;;5142;;;;1;7;4.31;29;21;22.4;22;5;20.45;11;4;10.14;;3;0.3;;3;0.45
REA;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;REAENF;12;4380;554;577;21;3299;26;;;0;0;0;25;3;30.51;20;5;26.3;1;;1.07;;4;1;;3;0.35
REA;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;SITOT;21;7665;1431;;;5142;;;;;;;;;;;;;;;;;;;;;
REA;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;SURVENF;23;8395;758;;;4851;;;;0;6;1.29;7;;5.17;6;2;5.75;11;;7.78;;;;;;
REA;2021;310019351;HOPITAL LARREY CHU TLSE;310781406;AUTSI;12;4380;1049;;;3732;;;;;10;1.25;1;;0.75;20;;19.16;17;2;19.61;;;;;;
REA;2021;310019351;HOPITAL LARREY CHU TLSE;310781406;SITOT;12;4380;1049;;;3732;;;;;;;;;;;;;;;;;;;;;
REA;2021;310019351;HOPITAL LARREY CHU TLSE;310781406;SURVADU;6;2190;422;;;1514;;;;;;;;;0.5;8;5;12.06;9;2;10.75;1;1;1;;1;0.3
REA;2021;310025333;ONCOPOLE CHU TOULOUSE;310781406;AUTSI;49;17886;1904;;;17993;;;;;;;3;;3;63;4;66.22;50;5;53.19;;;;;;
REA;2021;310025333;ONCOPOLE CHU TOULOUSE;310781406;REAADU;8;2916;382;393;20;2374;58;37;13;;;;;1;0.8;30;3;24.62;17;2;15.7;1;1;1;;2;0.2
REA;2021;310025333;ONCOPOLE CHU TOULOUSE;310781406;SITOT;49;17886;1904;;;17993;;;;;;;;;;;;;;;;;;;;;
REA;2021;310025333;ONCOPOLE CHU TOULOUSE;310781406;SURVADU;4;1460;287;;;1191;;;;;;;;;;12;2;5.04;11;2;4.62;;;;;;
REA;2021;310026083;CL RIVE GAUCHE;310026075;SURVADU;4;1460;361;;;1099;;;;6;;6;1;;1;5;;5;5;;5;;5;0.5;;1;0.5
REA;2021;310026927;CL CAPIO LA CROIX DU SUD;310026794;REAADU;8;2920;258;263;11;2756;19;41;42;9;;9;1;;0.8;13;2;19.72;9;1;13.18;;;;;;
REA;2021;310026927;CL CAPIO LA CROIX DU SUD;310026794;SITOT;12;4380;1494;;;4473;;;;;;;;;;;;;;;;;;;;;
REA;2021;310026927;CL CAPIO LA CROIX DU SUD;310026794;SURVADU;31;10950;1386;;;7854;;;;;;;;;;;18;26.6;;19;21.67;;;;;;
REA;2021;310026927;CL CAPIO LA CROIX DU SUD;310026794;USIC;12;4380;1494;;;4473;;;;;;;;;;;13;14.5;;6;5.43;;;;;;
REA;2021;310780150;CL MEDIPOLE GARONNE;310788799;SURVADU;5;1825;371;;;884;;;;;;;;;;3;0;2.43;0;0;0.22;;;;;;
REA;2021;310780150;CL MEDIPOLE GARONNE;310788799;SURVENF;2;730;43;;;47;;;;;;;;;;1;0;0.97;0;0;0.09;;;;;;
REA;2021;310780259;CL PASTEUR;310000096;REAADU;16;5840;1229;1276;14;5300;10;25;94;4;;4;2;;1.33;59;4;38.1;20;1;16.4;;;;5;;3.2
REA;2021;310780259;CL PASTEUR;310000096;SITOT;14;5110;2087;;;4608;;;;;;;;;;;;;;;;;;;;;
REA;2021;310780259;CL PASTEUR;310000096;SURVADU;28;10220;3220;;;12110;;;;4;;4;2;;0.66;59;4;22.65;20;1;8.4;;;;5;;1.6
REA;2021;310780259;CL PASTEUR;310000096;USIC;14;5110;2087;;;4608;;;;3;;3;1;;0.5;29;1;16.86;8;;7.6;;;;4;;1.3
REA;2021;310780283;CL DE L'UNION;310000112;REAADU;8;2920;190;197;11;2032;21;48;34;10;5;13.5;1;;0.38;8;2;10.43;9;1;9.51;;;;;;
REA;2021;310780283;CL DE L'UNION;310000112;SURVADU;16;5840;756;;;3604;;;;10;5;13.5;1;;0.38;7;0;8.9;8;2;7.84;;;;;;
REA;2021;310780382;CL AMBROISE PARE;310000179;SURVADU;10;3650;529;;;2199;;;;11;;11;;;;9;;8.16;;;;;;;;;
REA;2021;310781000;CL DES CEDRES;310788880;REAADU;14;4380;413;446;28;4376;14;42;69;5;;5;1;;1.1;18;5;27.01;14;5;20.83;;;;1;1;2.34
REA;2021;310781000;CL DES CEDRES;310788880;SITOT;17;6205;1998;;;6000;;;;;;;;;;;;;;;;;;;;;
REA;2021;310781000;CL DES CEDRES;310788880;SIUNV;5;1825;379;;;2009;;;;5;;5;;;0.04;4;2;6.76;2;2;4.49;;;;;1;0.08
REA;2021;310781000;CL DES CEDRES;310788880;SURVADU;12;4380;875;;;4366;;;;5;;5;;;0.04;14;;13.97;11;1;12.8;;;;;2;2.19
REA;2021;310781000;CL DES CEDRES;310788880;USIC;12;4380;1619;;;3991;;;;15;;15;;;0.04;9;3;13.24;5;2;9.27;;;;2;;1.92
REA;2021;310781505;CL D'OCCITANIE;310000492;REAADU;12;4380;545;554;4;3820;5;33;115;5;;;;1;0.33;10;2;11.64;5;2;6.7;;;;2;;2
REA;2021;310781505;CL D'OCCITANIE;310000492;SURVADU;10;3650;514;;;1995;;;;0;;;;1;0.33;10;2;11.64;5;2;6.7;;;;2;;2
REA;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;AUTSI;8;2928;375;;;2422;;;;;8;2;;1;0.5;13;;11.7;9;;4.19;;2;0.2;1;1;1.2
REA;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;SITOT;8;2928;375;;;2422;;;;;;;;;;;;;;;;;;;;;
REA;2021;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;SURVADU;18;6588;852;;;6235;;;;;8;2;;1;0.5;12;;11.25;7;;6.9;;2;0.2;1;1;1.2
REA;2021;310783048;HOPITAL PURPAN CHU TLSE;310781406;AUTSI;10;3650;2427;;;3521;;;;;11;1.67;;;0.4;16;4;17.91;7;1;8.24;;5;1;;5;0.5
REA;2021;310783048;HOPITAL PURPAN CHU TLSE;310781406;REAADU;44;16060;1517;2120;660;11980;10;39;121;2;23;9.64;4;;4.35;115;11;129.94;88;6;85.96;4;1;3;3;2;4.12
REA;2021;310783048;HOPITAL PURPAN CHU TLSE;310781406;SITOT;26;9490;3927;;;8770;;;;;;;;;;;;;;;;;;;;;
REA;2021;310783048;HOPITAL PURPAN CHU TLSE;310781406;SIUNV;16;5840;1500;;;5249;;;;2;5;3.22;4;;4.76;138;16;155.02;111;7;110.52;;5;1;2;3;3.25
REA;2021;310783048;HOPITAL PURPAN CHU TLSE;310781406;SURVADU;19;6935;1850;;;8177;;;;;32;3.11;;;0.25;23;7;32.97;21;3;28.63;;6;2;;3;0.4
REA;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;AUTSI;20;7292;2945;;;6297;;;;;18;1.86;1;;1;32;1;27.88;26;1;23.96;1;3;1;1;2;1
REA;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;REAADU;53;18931;2471;2941;471;17367;8;38;139;4;19;11.24;3;2;3.33;157;11;158.94;110;4;103.66;4;6;5;5;1;5.68
REA;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;SITOT;40;14592;5489;;;12447;;;;;;;;;;;;;;;;;;;;;
REA;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;SURVADU;112;40070;6878;;;34430;;;;6;22;7.29;2;;2.94;48;7;51.35;46;4;50.19;;10;3;1;3;1.73
REA;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;USIC;20;7300;2544;;;6150;;;;2;6;2.4;;1;0.78;35;3;37.22;28;7;32.28;;2;0.5;;3;0.47
REA;2021;320000086;CH AUCH EN GASCOGNE;320780117;REAADU;8;2920;269;271;8;2249;7;38;36;4;1;4.6;0;0;0;17;4;18.65;13;1;13.1;0;0;0;1;5;2.75
REA;2021;320000086;CH AUCH EN GASCOGNE;320780117;SITOT;4;1460;414;;;1097;;;;;;;;;;;;;;;;;;;;;
REA;2021;320000086;CH AUCH EN GASCOGNE;320780117;SIUNV;4;1460;414;;;1097;;;;0;3;0.45;0;0;0;0;15;2.25;0;18;2.7;0;0;0;0;5;0.68
REA;2021;320000086;CH AUCH EN GASCOGNE;320780117;SURVADU;8;2920;1243;;;2282;;;;0;1;0.3;0;1;0.2;0;20;4.22;0;24;6.36;0;0;0;0;3;0.44
REA;2021;330000340;MSP BORDEAUX BAGATELLE;330780552;SURVADU;6;2190;509;;;1397;;;;;;;1;0;0.5;14;2;16.13;3;0;3.1;;;;;;
REA;2021;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;SITOT;4;1460;441;;;1144;;;;;;;;;;;;;;;;;;;;;
REA;2021;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;SIUNV;4;1460;441;;;1144;;;;4;;4;;;;3;1;3.75;3;0;3;;;;;;
REA;2021;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;SURVADU;8;2920;734;;;2753;;;;4;2;5.77;;;;8;2;8.85;9;0;9;;;;;2;0.68
REA;2021;330000571;CH DE LA HAUTE GIRONDE;330781220;SURVADU;6;2190;1044;;;2532;;;;8;7;2.24;1;0;0.3;26;0;5.92;10;0;3.97;0;1;0.19;8;1;1.72
REA;2021;330000589;CH SUD GIRONDE - SITE LANGON;330027509;SURVADU;6;2190;391;;;1830;;;;4;1;1.34;;1;0.59;10;3;9.89;6;2;6.38;;;;;3;0.85
REA;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;REAADU;15;4932;580;625;55;5064;8;51;55;1;8;5.82;1;;0.91;32;8;33.59;25;1;23.72;;;;10;1;10.65
REA;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;SITOT;12;4380;1607;;;4085;;;;;;;;;;;;;;;;;;;;;
REA;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;SIUNV;4;1460;390;;;1427;;;;0;4;0.45;;;;9;2;10.04;5;1;4.52;;;;;1;0.4
REA;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;SURVADU;8;2920;454;;;1993;;;;0;8;1.81;;;;6;4;8.9;7;;6.86;;;;3;2;3.59
REA;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;SURVENF;4;1460;538;;;1707;;;;0;2;0.4;3;;3.15;;;;2;;2;;;;;;0.1
REA;2021;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;USIC;8;2920;1217;;;2658;;;;0;2;0.49;1;;1;8;3;10.59;6;;6.01;;;;1;1;1.43
REA;2021;330000662;INSTITUT BERGONIE;330781329;SURVADU;7;2190;580;;;1279;;;;1;;0.95;;;;10;5;13.29;5;1;5.66;;;;3;1;3.18
REA;2021;330780081;CLINIQUE SAINT- AUGUSTIN;330000043;REAADU;13;4745;1335;1365;14;2982;12;23;77;;6;3;;2;0.49;17;;17.24;6;1;4.2;;2;0.1;;;
REA;2021;330780081;CLINIQUE SAINT- AUGUSTIN;330000043;SITOT;14;5110;2025;;;3992;;;;;;;;;;;;;;;;;;;;;
REA;2021;330780081;CLINIQUE SAINT- AUGUSTIN;330000043;SURVADU;10;3650;1218;;;2291;;;;;7;4;;3;0.99;9;1;10.63;3;;3.12;;1;0.34;;;
REA;2021;330780081;CLINIQUE SAINT- AUGUSTIN;330000043;USIC;14;5110;2025;;;3992;;;;;14;8;;3;0.99;17;;14.05;8;1;5.7;;2;0.1;;;
REA;2021;330780115;CLINIQUE TIVOLI-DUCOS;330000076;SURVADU;6;2064;652;;;1112;;;;9;0;9;0;0;0;5;0;5;2;0;2;0;3;0.5;0;0;0
REA;2021;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;330000134;SURVADU;8;2920;645;;;2196;;;;;13;2.4;1;;0.65;6;2;7.73;5;1;5.16;;;;;;
