BOR;AN;FI;RS;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2021;130783152;CLINIQUE SAINTE ELISABETH;130001365;1;11;11;0;209;1;1;26;625;0;0;10;1;0;4;4;714;0;40;674;242;0;16;0;0;0;0;7;0;12;0;0;8;2;2;26;2;19;4;43;3;0.8;1.4;17.71;0.98;19.37;1.24;13.86;0;0;0;1;1;0;0;0;2;2;1;2;2;0;2;2;0.8;0.8;0.08;2.36;2.36;0;0.51;0.52
PALIA;2021;130783293;APHM HOPITAL LA TIMONE;130786049;0;;;;;1;1;7;182;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130783475;CLINIQUE L'ANGELUS;690793195;1;8;8;0;124;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;8;0;0;112;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130784911;CLINIQUE DE LA SALETTE;920030855;1;2;2;;2;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130785652;HOPITAL SAINT JOSEPH;130014228;1;4;;;4;1;1;12;283;;;;1;2384;;;378;;;;677;;59;0;1;;1;8;;12;;7;2;;;3;;;1;;1.3;;1;8.11;;9.31;0.9;4.29;1;;;;;;;;3;;;;;;;;1.6;;;;;;;
PALIA;2021;130785975;KORIAN LES OLIVIERS;310021340;1;13;13;0;71;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130785983;CLINIQUE SAINT CHRISTOPHE;130002306;1;14;14;;202;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;130002447;1;3;;;67;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;;;;;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130809015;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;1;6;2;0;91;0;;;;;;;1;20;72;3;1025;25;1000;;218;;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;1;1;1;;;2;2;1.4;0.4;0.2;1.8;;;0.9;1.14
PALIA;2021;130811102;LA MAISON;130007487;0;;;;;1;1;24;355;;;;1;360;6;;678;;;678;1;;;40;3;;4;23;;20;2;3;;;;;;;;;3;;3.83;18;;16.7;1.57;1.4;1;;1;3;;;1;1;;;;;;;;;0.85;;0.5;3;;;0.58;0.5
PALIA;2021;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;8;;;166;0;;;;;;;1;1629;4;4;133;100;27;6;408;;84;25;;;;1;1;;;;;;;;;;1;2;;;;1;1;;0.8;1;;;;;;;;;2;2;;;;;;;1.1;0.72;;;;;;
PALIA;2021;140000076;CENTRE HOSPITALIER AUNAY-BAYEUX;140000092;1;3;3;;21;0;;;;;;;1;612;1;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;;1;;0.4;0.4;;0.52;0.52;;0.22;
PALIA;2021;140000209;CHU COTE DE NACRE - CAEN;140000100;1;16;0;0;406;0;;;;;;;1;8183;1;0;71;60;11;0;961;0;330;277;;;;;;;;;;;;;;;;;;;;;;;;;4;;;5;;;1;2;3;;;1;;;4;1;5.14;;;4.8;;;2.36;1.78
PALIA;2021;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;1;1;0;0;33;1;1;10;225;;;3;1;831;4;;304;101;28;175;267;;24;19;;;;6;;5;;1;2;;;3;;5;1;2;1.7;;;8.75;;8.73;0.9;2.57;;;;;;;;;;;;1;;1;;1;;;;1;;0.19;;0.21
PALIA;2021;140000308;CENTRE HOSPITALIER DE PONT L'EVEQUE;140000134;1;3;3;;18;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;140000340;CENTRE SSR BETHARRAM HEROUVILLE;140025800;0;;;;;1;1;12;187;0;0;0;1;47;39;1;444;0;146;298;317;0;;;;;1;4;2;8;;;4;4;;5;4;2;1;4;2.4;2.4;0.8;8.2;5.6;10;0.5;3.5;;;1;2;2;;2;;2;2;;1;1;;;2;0.6;0.6;0.2;2.7;2.7;;0.85;1.1
PALIA;2021;140000373;CENTRE HOSPITALIER DE VIRE;140000159;1;2;0;0;38;0;;;;;;;1;1122;22;2;218;32;148;38;263;0;81;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;1;;;;1;;0.5;0.5;0.1;1;;;0.6;1
PALIA;2021;140000555;CRLCC FRANCOIS BACLESSE - CAEN;140000639;1;24;;;268;0;;;;;;;1;984;0;0;0;0;0;0;304;;6;20;;;0;19;;18;;5;1;;;1;;4;;3;0.39;;0.33;9.7;;9.45;;2.91;1;;1;2;1;;;3;1;1;;;;1;2;1;0.7;0.6;0.1;1.1;1;0.2;0.5;1.1
PALIA;2021;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;1;7;;;134;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;1;4;0;0;118;0;;;;;;;1;3200;17;;689;;268;421;499;;59;101;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;;;1;1;1;;;;;2;1;1.25;1.25;;1;1;;0.8;1.5
PALIA;2021;150000032;CH DE SAINT-FLOUR;150780088;1;2;0;0;12;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;150000040;CH HENRI MONDOR;150780096;1;5;2;0;108;1;1;8;173;;;11;1;575;20;2;195;0;58;84;424;1;60;7;;;0;3;;4;0;1;2;2;1;2;;0;1;5;1.39;1.39;0.2;5.39;;4.36;0.4;2.05;;;0;2;1;0;0;0;4;;2;4;2;0;2;4;1.13;;0.25;3;1.6;0;0.43;0.2
PALIA;2021;150000164;CH DE MAURIAC;150780468;1;1;0;0;23;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;150000180;CH DE MURAT;150780500;1;4;;;700;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;150780732;CENTRE MEDICO CHIRURGICAL TRONQUIERES;150000271;1;4;;;102;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;160000188;CH DE LA ROCHEFOUCAULD;160000121;1;6;;;40;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;8;1;1;31;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;160000303;CH HOPITAUX SUD-CHARENTE;160006037;1;3;3;;68;0;;;;;;;1;79;18;15;449;134;98;217;213;;0;67;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;1;;;;;;;1;;1;;;2;;;0.8;0.7
PALIA;2021;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;1;2;;;61;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;1;3;;;13;0;;;;;;;1;314;23;3;984;378;341;265;356;;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;3;1;;;1;;;1;;0.47;;;1.07;;;0.7;1.4
PALIA;2021;160000360;CH DE CHATEAUNEUF;160014411;0;;;;;1;1;10;147;;;;0;;;;;;;;;;;;1;;1;8;;8;1;;2;;;;;2;;;1.99;;0.72;7.16;;8.14;0.97;;;;1;1;;;;3;;;;1;;1;1;;;;0.09;1.7;;0.03;0.75;1.4
PALIA;2021;160013207;CENTRE CLINICAL SA;160001632;1;4;;;112;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;160015368;HOPITAUX DU GRAND COGNAC;160014411;1;6;;;82;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;170000038;CENTRE HOSPITALIER JONZAC;170780050;1;2;0;0;15;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;170000061;CSS DU CHATEAU MARLONGES - CHAMBON;170024194;0;;;;;1;1;10;47;;;;0;;;;;;;;;;;;2;2;;;;;;;1;1;;;;;;;2.5;2.5;;;;;;;;;;;;;;;1;1;;;;;;;0.5;0.5;;;;;;
PALIA;2021;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;20;10;0;222;0;;;;;;;1;3429;45;;1182;526;454;202;558;;;;2;2;;;;;;;1;1;;;;;;;2.5;2.5;;;;;;;;;;2;;;;1;1;1;1;;;;1;1;0.5;0.5;0.2;1.3;;;0.9;1.5
PALIA;2021;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;1;4;4;;24;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;1;6;0;;485;1;1;12;356;;;12;1;1564;50;6;1025;672;190;163;3441;12;6;36;5;;3;9;;8;;3;0;;;2;;3;2;1;2;;0.89;8.58;;8.51;1.29;1.84;4;;1;1;;;1;3;1;;;1;;;1;1;2.53;;0.36;3.16;;;1.91;2.62
PALIA;2021;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;1;5;0;0;111;0;;;;;;;1;1449;;;698;9;;;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;;1;;;1;;0.2;0.2;;1.2;;;0.51;0.05
PALIA;2021;180000010;CH BOURGES - JACQUES COEUR;180000028;1;15;3;0;290;0;;;;;;;1;2816;26;26;394;;;;205;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;3;3;;;;1;;;2;2;;1;3;1.6;;;2.97;2.97;;0.9;1.6
PALIA;2021;180000200;CH DE VIERZON;180000051;1;12;0;0;372;0;;;;;;;1;2389;5;1;72;;72;10;2389;4;52;3;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;;1;2;;;;;;;;;0.4;0.4;0.25;1;1;;0.48;0.56
PALIA;2021;180000283;CH SAINT AMAND-MONTROND;180000069;1;8;;;26;0;;;;;;;1;1179;;;69;30;39;;154;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;1;2;0.2;;0.05;1;;;0.38;0.34
PALIA;2021;180000333;CH SANCERRE;180000093;1;5;5;0;38;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;180000358;CLINIQUE DES GRAINETIERES;180000739;1;2;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;180003287;CH DE BOURGES SITE TAILLEGRAIN;180000028;1;3;3;0;27;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;180004145;HOPITAL PRIVE GUILLAUME DE VARYE;180000887;1;6;0;0;233;0;;;;;;;0;;;;;;;;;;;;;;;9;0;11;1;2;;;;4;0;0;0;0;;;;12;0;11;1;2;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;13;0;0;67;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;10;4;0;34;0;;;;;;;1;;25;4;;;;;427;;0;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;2;;;1;2;0.9;;0.38;2.16;;;0.28;1.17
PALIA;2021;190000034;HOPITAL LOCAL DE BORT LES ORGUES;190000067;1;6;0;0;15;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;190000091;CENTRE HOSPITALIER D'USSEL;190000075;1;4;0;0;57;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;190000224;CLINIQUE LES CEDRES BRIVE;190000901;1;2;;;28;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;190005694;CLINIQUE SAINT JEAN LEZ CEDRES;750056335;1;3;3;;53;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;210780789;CLINIQUE MUTUALISTE BENIGNE JOLY;210003208;1;4;;;64;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;13;0;0;25;1;1;15;280;;;16;1;314;21;13;398;85;85;228;905;0;51;78;0;;0;9;;6;0;0;4;;1;1;;6;2;6;3.53;;0.9;9.27;;9.4;1.11;5.67;1;;0;3;;0;0;0;3;;0;0;;0;1;1;1.48;;0;2;;0;0.18;0.63
PALIA;2021;210987574;CH ARNAY LE DUC;210012175;1;1;;;6;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;210987582;CENTRE HOSPITALIER D'IS-SUR-TILLE;210780631;1;2;;;32;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;210987590;CH NUITS SAINT GEORGES;210012175;1;2;;;13;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;210987616;CH SEURRE;210012175;1;2;;;12;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;210987657;HOSPICES CIVILS DE BEAUNE;210012175;1;4;0;0;25;0;;;;;;;1;526;17;4;312;48;61;203;380;0;150;90;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;;;;;;1;;;2;1;1;1;;2.82;;;1.14;0.2
PALIA;2021;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;1;3;0;0;24;0;;;;;;;1;2332;10;4;590;0;32;558;244;;28;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;1;;0.7;;0.1;1.13;;;0.07;0.51
PALIA;2021;210987673;CH HCO SITE DE MONTBARD;210012142;1;3;;;20;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;1;;0.7;;0.1;1.13;;;0.07;0.51
PALIA;2021;210987681;CH HCO SITE DE SAULIEU;210012142;1;2;;;23;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;0.7;;0.37;1.13;;;0.07;0.24
PALIA;2021;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;1;5;;0;39;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;210987731;CLCC GEORGES-FRANCOIS LECLERC;210780417;1;4;;;178;0;;;;;;;1;2000;;;0;;;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;
PALIA;2021;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;9;0;0;178;0;;;;;;;1;1455;22;1;12;;12;;253;;61;224;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;2;2;;2;2;0;1;0;0.6;0.6;0.1;1.7;1.7;0;0.7;0
PALIA;2021;220000095;CTRE HOSPITALIER DINAN;220000046;1;14;4;0;142;0;;;;;;;1;2283;;;437;;;;596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;1;;1;1;1;0.8;;0.1;2.03;;0.42;0.5;0.11
PALIA;2021;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;1;4;0;0;40;1;1;10;174;0;0;0;0;;;;;;;;;;;;;;0;4;;5;1;;2;;1;4;1;4;0;1;1.6;;0.5;7.8;0.8;7.8;0.55;0.4;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;220000368;CENTRE HOSPITALIER LANNION;220000103;0;;;;;0;;;;;;;1;1668;15;2;99;3;60;36;452;0;49;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;0;1;1;1;1;;;1;2;0.72;0.72;0.04;1.25;;;0.7;1
PALIA;2021;220000483;CHCB SITE LOUDEAC;560014748;1;3;3;;13;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;1;4;;;73;0;;;;;;;1;1201;7;2;991;;136;842;217;0;78;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;1;;1;1;;;1;1;0.6;;0.1;0.5;;;0.44;0.36
PALIA;2021;220000574;CHPP SITE QUINTIN;220021968;1;2;0;0;26;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;220001259;CENTRE HOSPITALIER TREGUIER;220005045;1;3;0;0;73;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;220022800;HOPITAL PRIVÉ DES COTES D'ARMOR;220000673;1;12;0;0;206;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;230000820;CENTRE HOSPITALIER GUERET;230780041;1;9;;;40;0;;;;;;;1;457;37;5;303;43;102;158;120;0;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;2;;;1;2;0.6;;0.24;1.8;;;0.5;0.55
PALIA;2021;230000846;C H BERNARD DESPLAS BOURGANEUF;230780066;1;4;0;0;6;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;230004657;SITE CROIX BLANCHE;230780058;1;2;0;0;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;230780082;CENTRE MEDICAL NATIONAL SAINTE FEYRE;750005068;1;5;2;;234;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;230780157;CLINIQUE DE LA MARCHE GUERET;230000861;1;2;;;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;240000091;C.H DE LANMARY;240000034;1;5;5;;25;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;1;12;;;124;0;;;;;;;0;;;;;;;;;;;;;;0;0;;0;;;0;;0;0;;0;0;0;0;;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;240000307;CENTRE MEDICAL CHATEAU DE BASSY;330056540;1;5;5;;19;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;240000372;C.H DE BERGERAC;240000059;1;5;0;0;173;0;;;;;;;1;1501;63;13;494;140;162;192;388;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;;1;1;0.6;0.6;0.17;2.08;2.08;;0.56;0.5
PALIA;2021;240000414;CENTRE HOSPITALIER DE DOMME;240000067;1;3;;;27;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;240000471;CENTRE HOSPITALIER DE NONTRON;240000109;1;4;0;0;8;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;5;;;36;1;1;12;316;;;;1;1645;0;0;120;9;98;13;763;;3;0;2;1;;9;0;10;0;4;;;;0;0;0;2;0;1;1;;9;0;9.59;1.23;3.41;;;;1;0;0;1;1;;;;0;0;0;0;0;;;;1;0;0;0.58;0.25
PALIA;2021;240000521;CENTRE HOSPITALIER CHENARD;240016055;1;5;5;0;67;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;240000687;CENTRE HOSPITALIER SARLAT;240000448;1;5;0;0;152;0;;;;;;;1;34;11;2;71;;39;32;105;;24;24;;;;;;2;1;4;;;;;;;;;;;;;;1.33;0.25;0.15;;;;;;;;;1;1;1;1;1;0;1;;0.5;0.5;0.1;0.5;0.5;;0.5;
PALIA;2021;250000270;CAPIO CLINIQUE SAINT VINCENT BESANCON;250000643;1;3;;;8;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;250000627;CH PAUL NAPPEZ MORTEAU;250000221;1;4;0;0;61;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;250000635;CH SAINTE CROIX BAUME LES DAMES;250000239;1;4;1;0;48;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;0;;;;;1;1;2;83;;;;0;;;;;;;;;;;;1;1;;1;;1;1;1;1;1;;1;;;1;;1.42;1.42;;1.39;;0.25;1;0.25;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;250000726;CH SAINT LOUIS ORNANS;250000478;1;4;2;;65;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;250000759;CENTRE DE SOINS TILLEROYES;250000569;1;2;2;0;52;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;250006954;CHRU JEAN MINJOZ;250000015;1;8;0;0;351;1;1;15;407;0;0;0;1;1499;14;8;71;9;42;20;965;0;573;151;2;2;1;9;;8;;3;3;3;;5;;8;3;5;4.04;4.04;1;14.74;;13.37;1.37;6.49;1;1;1;0;0;0;0;0;3;3;;2;;0;1;2;2.8;2.8;1;1.2;;0;0.5;1
PALIA;2021;260000013;CH DE VALENCE;260000021;1;5;0;0;77;1;1;10;329;;;;1;1974;20;9;80;42;13;25;650;;36;26;1;1;1;4;3;7;1;1;2;1;0;8;0;0;0;2;0.8;0.6;0.2;8.4;2.2;7;0.8;2.3;1;1;1;1;1;0;2;0;3;1;0;3;0;0;1;2;1.29;0.84;0.2;2.8;0.8;0;1.14;1
PALIA;2021;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;1;8;;;100;0;;;;;;;1;1294;13;13;488;76;75;337;717;;10;15;;;0;;;4;;1;;;0;5;;2;;1;;;0;2.84;;4.99;;1.13;1;1;;;;;;;1;1;;3;;;2;1;1;1;;1.27;;;0.89;0.5
