BOR;AN;FI;RS;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2021;160009080;C.S.S.R. LES GLAMOTS - ROULLET ST E.;160001574;SSR_A52;1;29;;14;;9180;;2466;
SSR;2021;160009080;C.S.S.R. LES GLAMOTS - ROULLET ST E.;160001574;SSR_E;;2;730;2;9;261;0;473;
SSR;2021;160009080;C.S.S.R. LES GLAMOTS - ROULLET ST E.;160001574;SSR_E51;1;1;;1;;47;;345;
SSR;2021;160009080;C.S.S.R. LES GLAMOTS - ROULLET ST E.;160001574;SSR_E52;1;1;;1;;214;;128;
SSR;2021;160009080;C.S.S.R. LES GLAMOTS - ROULLET ST E.;160001574;SSR_TOT;;55;20075;25;501;15297;33;3996;1
SSR;2021;160012209;KORIAN LE MAS BLANC - JARNAC;160012191;SSR_A;;38;13870;;341;9951;12;0;
SSR;2021;160012209;KORIAN LE MAS BLANC - JARNAC;160012191;SSR_A50;1;38;;;;9951;;0;
SSR;2021;160012209;KORIAN LE MAS BLANC - JARNAC;160012191;SSR_TOT;;38;13870;;341;9951;12;0;0
SSR;2021;160016374;SSR ANTENNE CRBVTA LES GLAMOTS;860012913;SSR_A;;;;5;0;0;0;1133;
SSR;2021;160016374;SSR ANTENNE CRBVTA LES GLAMOTS;860012913;SSR_A50;1;;;5;;0;;1133;
SSR;2021;160016374;SSR ANTENNE CRBVTA LES GLAMOTS;860012913;SSR_TOT;;;;5;0;0;0;1133;0
SSR;2021;170000038;CENTRE HOSPITALIER JONZAC;170780050;SSR_A;;31;11315;5;308;9613;24;1343;
SSR;2021;170000038;CENTRE HOSPITALIER JONZAC;170780050;SSR_A59;1;31;;5;;9613;;1343;
SSR;2021;170000038;CENTRE HOSPITALIER JONZAC;170780050;SSR_TOT;;31;11315;5;308;9613;24;1343;0
SSR;2021;170000061;CSS DU CHATEAU MARLONGES - CHAMBON;170024194;SSR_A;;58;20772;;550;17231;30;0;
SSR;2021;170000061;CSS DU CHATEAU MARLONGES - CHAMBON;170024194;SSR_A50;1;58;;;;17231;;0;
SSR;2021;170000061;CSS DU CHATEAU MARLONGES - CHAMBON;170024194;SSR_A59;1;;;;;0;;0;
SSR;2021;170000061;CSS DU CHATEAU MARLONGES - CHAMBON;170024194;SSR_TOT;;58;20772;;550;17231;30;0;0
SSR;2021;170000079;CTRE HOSPITALIER ST-PIERRE D'OLERON;170780142;SSR_A;;15;5475;;173;4584;3;0;
SSR;2021;170000079;CTRE HOSPITALIER ST-PIERRE D'OLERON;170780142;SSR_A50;1;15;;;;4584;;0;
SSR;2021;170000079;CTRE HOSPITALIER ST-PIERRE D'OLERON;170780142;SSR_TOT;;15;5475;;173;4584;3;0;0
SSR;2021;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;SSR_A;;100;36500;20;872;31407;63;2288;
SSR;2021;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;SSR_A50;1;34;;0;;11933;;0;
SSR;2021;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;SSR_A51;1;28;;10;;8180;;1046;
SSR;2021;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;SSR_A52;1;5;;;;1511;;0;
SSR;2021;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;SSR_A53;1;;;10;;0;;1242;
SSR;2021;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;SSR_A59;1;33;;;;9783;;0;
SSR;2021;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;SSR_TOT;;100;36500;20;872;31407;63;2288;0
SSR;2021;170000111;CH ST HONORE - ST-MARTIN-DE-RE;170024194;SSR_A;;27;9855;;264;7682;9;0;
SSR;2021;170000111;CH ST HONORE - ST-MARTIN-DE-RE;170024194;SSR_A50;1;27;;;;7682;;0;
SSR;2021;170000111;CH ST HONORE - ST-MARTIN-DE-RE;170024194;SSR_TOT;;27;9855;;264;7682;9;0;0
SSR;2021;170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;170780191;SSR_A;;60;21900;;743;19656;30;0;
SSR;2021;170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;170780191;SSR_A50;1;;;;;0;;0;
SSR;2021;170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;170780191;SSR_A59;1;60;;;;19656;;0;
SSR;2021;170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;170780191;SSR_TOT;;60;21900;;743;19656;30;0;0
SSR;2021;170000137;CH DUBOIS MEYNARDIE - MARENNES;170780209;SSR_A;;20;7300;;241;6166;3;0;
SSR;2021;170000137;CH DUBOIS MEYNARDIE - MARENNES;170780209;SSR_A50;1;20;;;;6166;;0;
SSR;2021;170000137;CH DUBOIS MEYNARDIE - MARENNES;170780209;SSR_TOT;;20;7300;;241;6166;3;0;0
SSR;2021;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;SSR_A;;60;21900;;560;20598;50;0;
SSR;2021;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;SSR_A50;1;25;;;;6048;;0;
SSR;2021;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;SSR_A59;1;35;;;;14550;;0;
SSR;2021;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;SSR_TOT;;60;21900;;560;20598;50;0;0
SSR;2021;170000178;CENTRE HOSPITALIER BOSCAMNANT;170780266;SSR_A;;70;25550;;688;20858;15;0;
SSR;2021;170000178;CENTRE HOSPITALIER BOSCAMNANT;170780266;SSR_A50;1;70;;;;20858;;0;
SSR;2021;170000178;CENTRE HOSPITALIER BOSCAMNANT;170780266;SSR_TOT;;70;25550;;688;20858;15;0;0
SSR;2021;170780043;CENTRE RICHELIEU - SSR SPECIALISES;750721334;SSR_A;;93;27600;28;745;26968;78;8637;
SSR;2021;170780043;CENTRE RICHELIEU - SSR SPECIALISES;750721334;SSR_A51;1;33;;13;;9729;;4057;
SSR;2021;170780043;CENTRE RICHELIEU - SSR SPECIALISES;750721334;SSR_A52;1;32;;11;;9922;;3424;
SSR;2021;170780043;CENTRE RICHELIEU - SSR SPECIALISES;750721334;SSR_A54;1;28;;4;;7317;;1156;
SSR;2021;170780043;CENTRE RICHELIEU - SSR SPECIALISES;750721334;SSR_TOT;;93;27600;28;745;26968;78;8637;1
SSR;2021;170780068;CLINIQUE SUR MOREAU;750056335;SSR_A;;68;24820;14;549;20077;44;769;
SSR;2021;170780068;CLINIQUE SUR MOREAU;750056335;SSR_A50;1;38;;7;;11509;;464;
SSR;2021;170780068;CLINIQUE SUR MOREAU;750056335;SSR_A59;1;30;;7;;8568;;305;
SSR;2021;170780068;CLINIQUE SUR MOREAU;750056335;SSR_TOT;;68;24820;14;549;20077;44;769;0
SSR;2021;170780100;CL. CONVAL KORIAN CHATEAU DE CLAVETTE;310021357;SSR_A;;64;23360;;383;17099;54;0;
SSR;2021;170780100;CL. CONVAL KORIAN CHATEAU DE CLAVETTE;310021357;SSR_A50;1;24;;;;4109;;0;
SSR;2021;170780100;CL. CONVAL KORIAN CHATEAU DE CLAVETTE;310021357;SSR_A59;1;40;;;;12990;;0;
SSR;2021;170780100;CL. CONVAL KORIAN CHATEAU DE CLAVETTE;310021357;SSR_TOT;;64;23360;;383;17099;54;0;0
SSR;2021;170780621;POLYCLINIQUE SAINT GEORGES;170000285;SSR_A;;60;21900;5;594;16629;13;1748;
SSR;2021;170780621;POLYCLINIQUE SAINT GEORGES;170000285;SSR_A50;1;60;;5;;16629;;1748;
SSR;2021;170780621;POLYCLINIQUE SAINT GEORGES;170000285;SSR_TOT;;60;21900;5;594;16629;13;1748;0
SSR;2021;170780662;CLINIQUE DE L'ATLANTIQUE;170024053;SSR_A;;;;30;0;0;0;9848;
SSR;2021;170780662;CLINIQUE DE L'ATLANTIQUE;170024053;SSR_A50;1;;;2;;0;;656;
SSR;2021;170780662;CLINIQUE DE L'ATLANTIQUE;170024053;SSR_A51;1;;;28;;0;;9192;
SSR;2021;170780662;CLINIQUE DE L'ATLANTIQUE;170024053;SSR_TOT;;;;30;0;0;0;9848;0
SSR;2021;170780803;CENTRE DE READAPTATION D'OLERON;170017321;SSR_A;;9;3285;1;83;1327;2;202;
SSR;2021;170780803;CENTRE DE READAPTATION D'OLERON;170017321;SSR_A50;1;9;;1;;1327;;202;
SSR;2021;170780803;CENTRE DE READAPTATION D'OLERON;170017321;SSR_E;;31;11315;1;178;5677;17;967;
SSR;2021;170780803;CENTRE DE READAPTATION D'OLERON;170017321;SSR_E50;1;31;;1;;5677;;967;
SSR;2021;170780803;CENTRE DE READAPTATION D'OLERON;170017321;SSR_TOT;;40;14600;2;261;7004;19;1169;0
SSR;2021;170781199;CENTRE ALCOOLOGIQUE ALPHA - ROYAN;170000400;SSR_A;;50;18250;;476;16698;0;0;
SSR;2021;170781199;CENTRE ALCOOLOGIQUE ALPHA - ROYAN;170000400;SSR_A58;1;50;;;;16698;;0;
SSR;2021;170781199;CENTRE ALCOOLOGIQUE ALPHA - ROYAN;170000400;SSR_TOT;;50;18250;;476;16698;0;0;0
SSR;2021;170784110;SSR CH LA ROCHELLE;170024194;SSR_A;;58;21074;5;627;19834;25;1426;
SSR;2021;170784110;SSR CH LA ROCHELLE;170024194;SSR_A50;1;3;;5;;682;;1423;
SSR;2021;170784110;SSR CH LA ROCHELLE;170024194;SSR_A59;1;55;;;;19152;;3;
SSR;2021;170784110;SSR CH LA ROCHELLE;170024194;SSR_TOT;;58;21074;5;627;19834;25;1426;0
SSR;2021;170792220;CH SAINTONGE - SSR;170780175;SSR_A;;;;9;0;0;0;4167;
SSR;2021;170792220;CH SAINTONGE - SSR;170780175;SSR_A50;1;;;;;0;;0;
SSR;2021;170792220;CH SAINTONGE - SSR;170780175;SSR_A52;1;;;9;;0;;4167;
SSR;2021;170792220;CH SAINTONGE - SSR;170780175;SSR_A59;1;;;;;0;;0;
SSR;2021;170792220;CH SAINTONGE - SSR;170780175;SSR_E;;;;1;0;0;0;417;
SSR;2021;170792220;CH SAINTONGE - SSR;170780175;SSR_E50;1;;;1;;0;;417;
SSR;2021;170792220;CH SAINTONGE - SSR;170780175;SSR_E52;1;;;;;0;;0;
SSR;2021;170792220;CH SAINTONGE - SSR;170780175;SSR_TOT;;;;10;0;0;0;4584;
SSR;2021;170803431;CARDIOCEAN - PUILBOREAU;920030269;SSR_A;;77;28105;20;1244;24734;0;7024;
SSR;2021;170803431;CARDIOCEAN - PUILBOREAU;920030269;SSR_A53;1;77;;20;;24734;;7024;
SSR;2021;170803431;CARDIOCEAN - PUILBOREAU;920030269;SSR_TOT;;77;28105;20;1244;24734;0;7024;0
SSR;2021;180000010;CH BOURGES - JACQUES COEUR;180000028;SSR_A;;50;14500;6;380;13673;28;227;
SSR;2021;180000010;CH BOURGES - JACQUES COEUR;180000028;SSR_A53;1;0;;6;;0;;227;
SSR;2021;180000010;CH BOURGES - JACQUES COEUR;180000028;SSR_A59;1;50;;0;;13673;;0;
SSR;2021;180000010;CH BOURGES - JACQUES COEUR;180000028;SSR_TOT;;50;14500;6;380;13673;28;227;0
SSR;2021;180000283;CH SAINT AMAND-MONTROND;180000069;SSR_A;;12;4056;5;173;3560;2;380;
SSR;2021;180000283;CH SAINT AMAND-MONTROND;180000069;SSR_A50;0;12;;;;3560;;;
SSR;2021;180000283;CH SAINT AMAND-MONTROND;180000069;SSR_A59;1;;;5;;;;380;
SSR;2021;180000283;CH SAINT AMAND-MONTROND;180000069;SSR_TOT;;12;4056;5;173;3560;2;380;0
SSR;2021;180000333;CH SANCERRE;180000093;SSR_A;;30;9855;;186;9005;32;0;
SSR;2021;180000333;CH SANCERRE;180000093;SSR_A50;1;;;;;0;;0;
SSR;2021;180000333;CH SANCERRE;180000093;SSR_A59;1;30;;;;9005;;0;
SSR;2021;180000333;CH SANCERRE;180000093;SSR_TOT;;30;9855;;186;9005;32;0;0
SSR;2021;180000598;CTRE DE READAPTATION GUILLAUME VARYE;180000887;SSR_A;;66;24090;10;580;18600;28;8766;
SSR;2021;180000598;CTRE DE READAPTATION GUILLAUME VARYE;180000887;SSR_A50;1;66;;10;;18600;;8766;
SSR;2021;180000598;CTRE DE READAPTATION GUILLAUME VARYE;180000887;SSR_A59;1;0;;;;0;;0;
SSR;2021;180000598;CTRE DE READAPTATION GUILLAUME VARYE;180000887;SSR_TOT;;66;24090;10;580;18600;28;8766;0
SSR;2021;180003287;CH DE BOURGES SITE TAILLEGRAIN;180000028;SSR_A;;55;14500;;469;16138;37;0;
SSR;2021;180003287;CH DE BOURGES SITE TAILLEGRAIN;180000028;SSR_A59;1;55;;;;16138;;0;
SSR;2021;180003287;CH DE BOURGES SITE TAILLEGRAIN;180000028;SSR_TOT;;55;14500;;469;16138;37;0;0
SSR;2021;180003345;CH DE VIERZON SITE LA NOUE;180000051;SSR_A;;92;33534;17;696;26991;69;2715;
SSR;2021;180003345;CH DE VIERZON SITE LA NOUE;180000051;SSR_A50;1;18;;;;7354;;0;
SSR;2021;180003345;CH DE VIERZON SITE LA NOUE;180000051;SSR_A51;1;5;;1;;442;;3;
SSR;2021;180003345;CH DE VIERZON SITE LA NOUE;180000051;SSR_A52;1;20;;4;;5020;;821;
SSR;2021;180003345;CH DE VIERZON SITE LA NOUE;180000051;SSR_A59;1;49;;12;;14175;;1891;
SSR;2021;180003345;CH DE VIERZON SITE LA NOUE;180000051;SSR_TOT;;92;33534;17;696;26991;69;2715;0
SSR;2021;180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;180000069;SSR_A;;37;13505;;247;8571;10;0;
SSR;2021;180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;180000069;SSR_A50;1;8;;;;2569;;0;
SSR;2021;180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;180000069;SSR_A51;1;10;;;;1944;;0;
SSR;2021;180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;180000069;SSR_A52;1;10;;;;507;;0;
SSR;2021;180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;180000069;SSR_A59;0;9;;;;3551;;0;
SSR;2021;180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;180000069;SSR_TOT;;37;13505;;247;8571;10;0;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_A;;102;37018;5;1017;34110;68;788;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_A50;1;102;;5;;3443;;26;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_A51;1;;;;;3705;;381;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_A52;1;;;;;5263;;381;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_A59;1;;;;;21699;;0;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_E;;;;;10;256;0;26;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_E50;1;;;;;0;;0;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_E51;1;;;;;30;;0;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_E52;1;;;;;226;;26;
SSR;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;SSR_TOT;;102;37018;5;1027;34366;68;814;0
SSR;2021;190000034;HOPITAL LOCAL DE BORT LES ORGUES;190000067;SSR_A;;20;5475;;171;4867;3;0;
SSR;2021;190000034;HOPITAL LOCAL DE BORT LES ORGUES;190000067;SSR_A50;1;20;;;;4867;;0;
SSR;2021;190000034;HOPITAL LOCAL DE BORT LES ORGUES;190000067;SSR_TOT;;20;5475;;171;4867;3;0;0
SSR;2021;190000091;CENTRE HOSPITALIER D'USSEL;190000075;SSR_A;;40;11936;;393;10251;5;0;
SSR;2021;190000091;CENTRE HOSPITALIER D'USSEL;190000075;SSR_A50;1;30;;;;6998;;0;
SSR;2021;190000091;CENTRE HOSPITALIER D'USSEL;190000075;SSR_A59;1;10;;;;3253;;0;
SSR;2021;190000091;CENTRE HOSPITALIER D'USSEL;190000075;SSR_TOT;;40;11936;;393;10251;5;0;0
SSR;2021;190000257;CLINIQUE SAINT-GERMAIN BRIVE;190001131;SSR_A;;;;32;0;0;0;7284;
SSR;2021;190000257;CLINIQUE SAINT-GERMAIN BRIVE;190001131;SSR_A53;1;;;16;;0;;4843;
SSR;2021;190000257;CLINIQUE SAINT-GERMAIN BRIVE;190001131;SSR_A55;1;;;16;;0;;2441;
SSR;2021;190000257;CLINIQUE SAINT-GERMAIN BRIVE;190001131;SSR_TOT;;;;32;0;0;0;7284;0
SSR;2021;190002493;CONVALESCENCE CURE READAPT. DU CHANDOU;190000059;SSR_A;;30;10980;;317;8371;2;0;
SSR;2021;190002493;CONVALESCENCE CURE READAPT. DU CHANDOU;190000059;SSR_A59;1;30;;;;8371;;0;
SSR;2021;190002493;CONVALESCENCE CURE READAPT. DU CHANDOU;190000059;SSR_TOT;;30;10980;;317;8371;2;0;
SSR;2021;190005694;CLINIQUE SAINT JEAN LEZ CEDRES;750056335;SSR_A;;81;29565;10;772;28443;50;4544;
SSR;2021;190005694;CLINIQUE SAINT JEAN LEZ CEDRES;750056335;SSR_A50;1;54;;;;6811;;0;
SSR;2021;190005694;CLINIQUE SAINT JEAN LEZ CEDRES;750056335;SSR_A59;1;27;;10;;21632;;4544;
SSR;2021;190005694;CLINIQUE SAINT JEAN LEZ CEDRES;750056335;SSR_TOT;;81;29565;10;772;28443;50;4544;0
SSR;2021;190009985;SSR EN ADDICTOLOGIE;190000117;SSR_A;;2;730;0;57;445;0;0;
SSR;2021;190009985;SSR EN ADDICTOLOGIE;190000117;SSR_A58;1;2;;0;;445;;0;
SSR;2021;190009985;SSR EN ADDICTOLOGIE;190000117;SSR_TOT;;2;730;0;57;445;0;0;0
SSR;2021;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;190000059;SSR_A;;30;10980;3;303;8973;23;1626;
SSR;2021;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;190000059;SSR_A50;1;;;;;0;;0;
SSR;2021;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;190000059;SSR_A51;1;15;;1;;4466;;389;
SSR;2021;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;190000059;SSR_A52;1;15;;2;;4507;;1237;
SSR;2021;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;190000059;SSR_E50;1;;;;;0;;0;
SSR;2021;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;190000059;SSR_E51;1;;;;;0;;0;
SSR;2021;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;190000059;SSR_E52;1;;;;;0;;0;
SSR;2021;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;190000059;SSR_TOT;;30;10980;3;303;8973;23;1626;
SSR;2021;190012476;CH JEAN-MARIE DAUZIER - SSR - CORNIL;190002519;SSR_A;;15;4839;;122;4783;11;0;
SSR;2021;190012476;CH JEAN-MARIE DAUZIER - SSR - CORNIL;190002519;SSR_A50;1;15;;;;4783;;0;
SSR;2021;190012476;CH JEAN-MARIE DAUZIER - SSR - CORNIL;190002519;SSR_TOT;;15;4839;;122;4783;11;0;0
SSR;2021;210007399;INICEA JOUVENCE NUTRITION;210013231;SSR_A;;40;14600;10;223;13477;63;4438;
SSR;2021;210007399;INICEA JOUVENCE NUTRITION;210013231;SSR_A50;1;40;;10;;13477;;4438;
SSR;2021;210007399;INICEA JOUVENCE NUTRITION;210013231;SSR_TOT;;40;14600;10;223;13477;63;4438;0
SSR;2021;210010443;CSSR -LE RENOUVEAU-;210000337;SSR_A;;51;17995;3;275;13141;48;690;
SSR;2021;210010443;CSSR -LE RENOUVEAU-;210000337;SSR_A58;1;51;;3;;13141;;690;
SSR;2021;210010443;CSSR -LE RENOUVEAU-;210000337;SSR_TOT;;51;17995;3;275;13141;48;690;0
SSR;2021;210780144;CRF DIVIO DIJON;750721235;SSR_A;;97;35405;17;654;31878;106;6774;
SSR;2021;210780144;CRF DIVIO DIJON;750721235;SSR_A51;1;38;;4;;12579;;1523;
SSR;2021;210780144;CRF DIVIO DIJON;750721235;SSR_A52;1;59;;13;;19299;;5251;
SSR;2021;210780144;CRF DIVIO DIJON;750721235;SSR_TOT;;97;35405;17;654;31878;106;6774;0
SSR;2021;210780276;SERVICE SOINS DE SUITE ET READAPTATION;210003208;SSR_A;;102;37230;10;1100;31428;20;1064;
SSR;2021;210780276;SERVICE SOINS DE SUITE ET READAPTATION;210003208;SSR_A50;1;30;;;;3631;;0;
SSR;2021;210780276;SERVICE SOINS DE SUITE ET READAPTATION;210003208;SSR_A52;1;12;;;;3412;;0;
SSR;2021;210780276;SERVICE SOINS DE SUITE ET READAPTATION;210003208;SSR_A55;1;30;;10;;6308;;1064;
SSR;2021;210780276;SERVICE SOINS DE SUITE ET READAPTATION;210003208;SSR_A59;1;30;;;;18077;;0;
SSR;2021;210780276;SERVICE SOINS DE SUITE ET READAPTATION;210003208;SSR_TOT;;102;37230;10;1100;31428;20;1064;0
SSR;2021;210780292;CLINIQUE MEDECINE PHYSIQUE LES ROSIERS;210000105;SSR_A;;83;30295;99;807;26305;33;27101;
SSR;2021;210780292;CLINIQUE MEDECINE PHYSIQUE LES ROSIERS;210000105;SSR_A50;1;;;;;0;;;
SSR;2021;210780292;CLINIQUE MEDECINE PHYSIQUE LES ROSIERS;210000105;SSR_A51;1;75;;42;;24198;;15914;
SSR;2021;210780292;CLINIQUE MEDECINE PHYSIQUE LES ROSIERS;210000105;SSR_A53;1;;;16;;0;;4691;
SSR;2021;210780292;CLINIQUE MEDECINE PHYSIQUE LES ROSIERS;210000105;SSR_A54;1;8;;26;;2107;;4317;
SSR;2021;210780292;CLINIQUE MEDECINE PHYSIQUE LES ROSIERS;210000105;SSR_A55;1;;;15;;0;;2179;
SSR;2021;210780292;CLINIQUE MEDECINE PHYSIQUE LES ROSIERS;210000105;SSR_TOT;;83;30295;99;807;26305;33;27101;0
SSR;2021;210986089;CTRE HOSPITALIER REG UNIVERSITAIRE DIJ;210780581;SSR_A;;68;24820;;545;15502;9;0;
SSR;2021;210986089;CTRE HOSPITALIER REG UNIVERSITAIRE DIJ;210780581;SSR_A59;1;68;;;;15502;;0;
SSR;2021;210986089;CTRE HOSPITALIER REG UNIVERSITAIRE DIJ;210780581;SSR_TOT;;68;24820;;545;15502;9;0;0
SSR;2021;210986741;SSR JOUVENCE READAPTATION;210986733;SSR_A;;60;20724;;735;20724;17;0;
SSR;2021;210986741;SSR JOUVENCE READAPTATION;210986733;SSR_A50;1;10;;;;3536;;0;
SSR;2021;210986741;SSR JOUVENCE READAPTATION;210986733;SSR_A59;1;50;;;;17188;;0;
SSR;2021;210986741;SSR JOUVENCE READAPTATION;210986733;SSR_TOT;;60;20724;;735;20724;17;0;0
SSR;2021;210987046;CTRE CONVALESCENCE GERIATRIQUE;210987038;SSR_A;;90;32850;;713;27316;56;0;
SSR;2021;210987046;CTRE CONVALESCENCE GERIATRIQUE;210987038;SSR_A50;1;;;;;0;;0;
SSR;2021;210987046;CTRE CONVALESCENCE GERIATRIQUE;210987038;SSR_A59;1;90;;;;27316;;0;
SSR;2021;210987046;CTRE CONVALESCENCE GERIATRIQUE;210987038;SSR_TOT;;90;32850;;713;27316;56;0;0
SSR;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;SSR_A;;91;27227;30;693;25632;51;8898;
SSR;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;SSR_A50;1;32;;1;;8669;;1026;
SSR;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;SSR_A51;1;16;;3;;5805;;2667;
SSR;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;SSR_A52;1;27;;6;;8141;;2603;
SSR;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;SSR_A53;1;8;;20;;1645;;2602;
SSR;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;SSR_A54;1;8;;;;1372;;0;
SSR;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;SSR_TOT;;91;27227;30;693;25632;51;8898;1
SSR;2021;210987582;CENTRE HOSPITALIER D'IS-SUR-TILLE;210780631;SSR_A;;12;4380;;152;3018;1;0;
SSR;2021;210987582;CENTRE HOSPITALIER D'IS-SUR-TILLE;210780631;SSR_A50;1;12;;;;3018;;0;
SSR;2021;210987582;CENTRE HOSPITALIER D'IS-SUR-TILLE;210780631;SSR_TOT;;12;4380;;152;3018;1;0;0
SSR;2021;210987640;CENTRE HOSPITALIER D'AUXONNE;210780672;SSR_A;;30;10950;;208;6698;9;0;
SSR;2021;210987640;CENTRE HOSPITALIER D'AUXONNE;210780672;SSR_A50;1;30;;;;6698;;0;
SSR;2021;210987640;CENTRE HOSPITALIER D'AUXONNE;210780672;SSR_TOT;;30;10950;;208;6698;9;0;0
SSR;2021;210987657;HOSPICES CIVILS DE BEAUNE;210012175;SSR_A;;40;13500;10;391;12304;11;2728;
SSR;2021;210987657;HOSPICES CIVILS DE BEAUNE;210012175;SSR_A50;1;;;;;0;;0;
SSR;2021;210987657;HOSPICES CIVILS DE BEAUNE;210012175;SSR_A53;1;;;10;;0;;2728;
SSR;2021;210987657;HOSPICES CIVILS DE BEAUNE;210012175;SSR_A59;1;40;;;;12304;;0;
SSR;2021;210987657;HOSPICES CIVILS DE BEAUNE;210012175;SSR_TOT;;40;13500;10;391;12304;11;2728;0
SSR;2021;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;SSR_A;;31;11315;1;237;9329;18;37;
SSR;2021;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;SSR_A50;1;31;;1;;9329;;37;
SSR;2021;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;SSR_TOT;;31;11315;1;237;9329;18;37;0
SSR;2021;210987673;CH HCO SITE DE MONTBARD;210012142;SSR_A;;64;18980;8;580;13180;4;2087;
SSR;2021;210987673;CH HCO SITE DE MONTBARD;210012142;SSR_A50;1;12;;;;0;;0;
SSR;2021;210987673;CH HCO SITE DE MONTBARD;210012142;SSR_A53;1;14;;6;;2745;;1361;
SSR;2021;210987673;CH HCO SITE DE MONTBARD;210012142;SSR_A59;1;38;;2;;10435;;726;
SSR;2021;210987673;CH HCO SITE DE MONTBARD;210012142;SSR_TOT;;64;18980;8;580;13180;4;2087;0
SSR;2021;210987681;CH HCO SITE DE SAULIEU;210012142;SSR_A;;42;15330;;335;12015;21;0;
SSR;2021;210987681;CH HCO SITE DE SAULIEU;210012142;SSR_A50;1;;;;;0;;0;
SSR;2021;210987681;CH HCO SITE DE SAULIEU;210012142;SSR_A59;1;42;;;;12015;;0;
SSR;2021;210987681;CH HCO SITE DE SAULIEU;210012142;SSR_TOT;;42;15330;;335;12015;21;0;0
SSR;2021;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;SSR_A;;0;;22;0;0;0;5771;
SSR;2021;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;SSR_A51;1;;;5;;0;;3054;
SSR;2021;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;SSR_A52;1;;;10;;0;;2379;
SSR;2021;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;SSR_A54;1;0;;7;;0;;338;
SSR;2021;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;SSR_TOT;;0;;22;0;0;0;5771;1
